,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[48, 14, 7, 27]","[49, 12, 10, 25]","[45, 16, 13, 22]","[54, 7, 12, 23]","[47, 14, 7, 27]","[50, 11, 12, 22]","[44, 17, 7, 27]","[50, 11, 14, 20]","[39, 22, 10, 24]","[45, 16, 10, 24]"
1,0.001,"[47, 15, 7, 27]","[49, 12, 10, 25]","[45, 16, 12, 23]","[54, 7, 11, 24]","[47, 14, 6, 28]","[50, 11, 12, 22]","[44, 17, 7, 27]","[50, 11, 15, 19]","[39, 22, 9, 25]","[45, 16, 10, 24]"
2,0.01,"[48, 14, 8, 26]","[49, 12, 9, 26]","[43, 18, 11, 24]","[54, 7, 8, 27]","[47, 14, 5, 29]","[49, 12, 11, 23]","[44, 17, 7, 27]","[51, 10, 13, 21]","[39, 22, 9, 25]","[43, 18, 9, 25]"
