,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[61, 0, 32, 2]"
1,linear,0.1,,,50,0.75,"[61, 0, 32, 2]"
2,linear,0.1,,,50,1.0,"[61, 0, 34, 0]"
3,linear,0.1,,,100,0.5,"[61, 0, 32, 2]"
4,linear,0.1,,,100,0.75,"[61, 0, 32, 2]"
5,linear,0.1,,,100,1.0,"[61, 0, 34, 0]"
6,linear,0.1,,,150,0.5,"[61, 0, 32, 2]"
7,linear,0.1,,,150,0.75,"[61, 0, 32, 2]"
8,linear,0.1,,,150,1.0,"[61, 0, 34, 0]"
9,rbf,0.1,1,,50,0.5,"[61, 0, 34, 0]"
10,rbf,0.1,1,,50,0.75,"[61, 0, 34, 0]"
11,rbf,0.1,1,,50,1.0,"[61, 0, 34, 0]"
12,rbf,0.1,1,,100,0.5,"[61, 0, 34, 0]"
13,rbf,0.1,1,,100,0.75,"[61, 0, 34, 0]"
14,rbf,0.1,1,,100,1.0,"[61, 0, 34, 0]"
15,rbf,0.1,1,,150,0.5,"[61, 0, 34, 0]"
16,rbf,0.1,1,,150,0.75,"[61, 0, 34, 0]"
17,rbf,0.1,1,,150,1.0,"[61, 0, 34, 0]"
18,poly,0.1,1,2,50,0.5,"[61, 0, 34, 0]"
19,poly,0.1,1,2,50,0.75,"[61, 0, 34, 0]"
20,poly,0.1,1,2,50,1.0,"[61, 0, 34, 0]"
21,poly,0.1,1,2,100,0.5,"[61, 0, 34, 0]"
22,poly,0.1,1,2,100,0.75,"[61, 0, 34, 0]"
23,poly,0.1,1,2,100,1.0,"[61, 0, 34, 0]"
24,poly,0.1,1,2,150,0.5,"[61, 0, 34, 0]"
25,poly,0.1,1,2,150,0.75,"[61, 0, 34, 0]"
26,poly,0.1,1,2,150,1.0,"[61, 0, 34, 0]"
27,poly,0.1,1,3,50,0.5,"[61, 0, 34, 0]"
28,poly,0.1,1,3,50,0.75,"[61, 0, 34, 0]"
29,poly,0.1,1,3,50,1.0,"[59, 2, 32, 2]"
30,poly,0.1,1,3,100,0.5,"[61, 0, 34, 0]"
31,poly,0.1,1,3,100,0.75,"[61, 0, 34, 0]"
32,poly,0.1,1,3,100,1.0,"[59, 2, 32, 2]"
33,poly,0.1,1,3,150,0.5,"[61, 0, 34, 0]"
34,poly,0.1,1,3,150,0.75,"[61, 0, 34, 0]"
35,poly,0.1,1,3,150,1.0,"[59, 2, 32, 2]"
36,rbf,0.1,10.0,,50,0.5,"[61, 0, 34, 0]"
37,rbf,0.1,10.0,,50,0.75,"[61, 0, 34, 0]"
38,rbf,0.1,10.0,,50,1.0,"[61, 0, 34, 0]"
39,rbf,0.1,10.0,,100,0.5,"[61, 0, 34, 0]"
40,rbf,0.1,10.0,,100,0.75,"[61, 0, 34, 0]"
41,rbf,0.1,10.0,,100,1.0,"[61, 0, 34, 0]"
42,rbf,0.1,10.0,,150,0.5,"[61, 0, 34, 0]"
43,rbf,0.1,10.0,,150,0.75,"[61, 0, 34, 0]"
44,rbf,0.1,10.0,,150,1.0,"[61, 0, 34, 0]"
45,poly,0.1,10.0,2,50,0.5,"[54, 7, 22, 12]"
46,poly,0.1,10.0,2,50,0.75,"[55, 6, 21, 13]"
47,poly,0.1,10.0,2,50,1.0,"[48, 13, 22, 12]"
48,poly,0.1,10.0,2,100,0.5,"[54, 7, 22, 12]"
49,poly,0.1,10.0,2,100,0.75,"[55, 6, 21, 13]"
50,poly,0.1,10.0,2,100,1.0,"[48, 13, 22, 12]"
51,poly,0.1,10.0,2,150,0.5,"[54, 7, 22, 12]"
52,poly,0.1,10.0,2,150,0.75,"[55, 6, 21, 13]"
53,poly,0.1,10.0,2,150,1.0,"[48, 13, 22, 12]"
54,poly,0.1,10.0,3,50,0.5,"[49, 12, 17, 17]"
55,poly,0.1,10.0,3,50,0.75,"[47, 14, 17, 17]"
56,poly,0.1,10.0,3,50,1.0,"[47, 14, 20, 14]"
57,poly,0.1,10.0,3,100,0.5,"[46, 15, 17, 17]"
58,poly,0.1,10.0,3,100,0.75,"[49, 12, 18, 16]"
59,poly,0.1,10.0,3,100,1.0,"[47, 14, 19, 15]"
60,poly,0.1,10.0,3,150,0.5,"[46, 15, 17, 17]"
61,poly,0.1,10.0,3,150,0.75,"[49, 12, 17, 17]"
62,poly,0.1,10.0,3,150,1.0,"[47, 14, 19, 15]"
63,linear,1.0,,,50,0.5,"[57, 4, 26, 8]"
64,linear,1.0,,,50,0.75,"[53, 8, 26, 8]"
65,linear,1.0,,,50,1.0,"[57, 4, 28, 6]"
66,linear,1.0,,,100,0.5,"[57, 4, 26, 8]"
67,linear,1.0,,,100,0.75,"[53, 8, 26, 8]"
68,linear,1.0,,,100,1.0,"[57, 4, 28, 6]"
69,linear,1.0,,,150,0.5,"[57, 4, 26, 8]"
70,linear,1.0,,,150,0.75,"[53, 8, 26, 8]"
71,linear,1.0,,,150,1.0,"[57, 4, 28, 6]"
72,rbf,1.0,1,,50,0.5,"[61, 0, 34, 0]"
73,rbf,1.0,1,,50,0.75,"[61, 0, 34, 0]"
74,rbf,1.0,1,,50,1.0,"[61, 0, 34, 0]"
75,rbf,1.0,1,,100,0.5,"[61, 0, 34, 0]"
76,rbf,1.0,1,,100,0.75,"[61, 0, 34, 0]"
77,rbf,1.0,1,,100,1.0,"[61, 0, 34, 0]"
78,rbf,1.0,1,,150,0.5,"[61, 0, 34, 0]"
79,rbf,1.0,1,,150,0.75,"[61, 0, 34, 0]"
80,rbf,1.0,1,,150,1.0,"[61, 0, 34, 0]"
81,poly,1.0,1,2,50,0.5,"[60, 1, 34, 0]"
82,poly,1.0,1,2,50,0.75,"[60, 1, 33, 1]"
83,poly,1.0,1,2,50,1.0,"[51, 10, 21, 13]"
84,poly,1.0,1,2,100,0.5,"[60, 1, 34, 0]"
85,poly,1.0,1,2,100,0.75,"[60, 1, 33, 1]"
86,poly,1.0,1,2,100,1.0,"[51, 10, 21, 13]"
87,poly,1.0,1,2,150,0.5,"[60, 1, 34, 0]"
88,poly,1.0,1,2,150,0.75,"[60, 1, 33, 1]"
89,poly,1.0,1,2,150,1.0,"[51, 10, 21, 13]"
90,poly,1.0,1,3,50,0.5,"[51, 10, 21, 13]"
91,poly,1.0,1,3,50,0.75,"[54, 7, 23, 11]"
92,poly,1.0,1,3,50,1.0,"[54, 7, 20, 14]"
93,poly,1.0,1,3,100,0.5,"[51, 10, 21, 13]"
94,poly,1.0,1,3,100,0.75,"[54, 7, 23, 11]"
95,poly,1.0,1,3,100,1.0,"[54, 7, 20, 14]"
96,poly,1.0,1,3,150,0.5,"[51, 10, 21, 13]"
97,poly,1.0,1,3,150,0.75,"[54, 7, 23, 11]"
98,poly,1.0,1,3,150,1.0,"[54, 7, 20, 14]"
99,rbf,1.0,10.0,,50,0.5,"[61, 0, 34, 0]"
100,rbf,1.0,10.0,,50,0.75,"[61, 0, 34, 0]"
101,rbf,1.0,10.0,,50,1.0,"[61, 0, 34, 0]"
102,rbf,1.0,10.0,,100,0.5,"[61, 0, 34, 0]"
103,rbf,1.0,10.0,,100,0.75,"[61, 0, 34, 0]"
104,rbf,1.0,10.0,,100,1.0,"[61, 0, 34, 0]"
105,rbf,1.0,10.0,,150,0.5,"[61, 0, 34, 0]"
106,rbf,1.0,10.0,,150,0.75,"[61, 0, 34, 0]"
107,rbf,1.0,10.0,,150,1.0,"[61, 0, 34, 0]"
108,poly,1.0,10.0,2,50,0.5,"[52, 9, 22, 12]"
109,poly,1.0,10.0,2,50,0.75,"[51, 10, 21, 13]"
110,poly,1.0,10.0,2,50,1.0,"[51, 10, 20, 14]"
111,poly,1.0,10.0,2,100,0.5,"[52, 9, 22, 12]"
112,poly,1.0,10.0,2,100,0.75,"[51, 10, 21, 13]"
113,poly,1.0,10.0,2,100,1.0,"[51, 10, 20, 14]"
114,poly,1.0,10.0,2,150,0.5,"[52, 9, 22, 12]"
115,poly,1.0,10.0,2,150,0.75,"[51, 10, 21, 13]"
116,poly,1.0,10.0,2,150,1.0,"[51, 10, 20, 14]"
117,poly,1.0,10.0,3,50,0.5,"[47, 14, 16, 18]"
118,poly,1.0,10.0,3,50,0.75,"[47, 14, 17, 17]"
119,poly,1.0,10.0,3,50,1.0,"[48, 13, 16, 18]"
120,poly,1.0,10.0,3,100,0.5,"[46, 15, 17, 17]"
121,poly,1.0,10.0,3,100,0.75,"[47, 14, 17, 17]"
122,poly,1.0,10.0,3,100,1.0,"[49, 12, 16, 18]"
123,poly,1.0,10.0,3,150,0.5,"[46, 15, 17, 17]"
124,poly,1.0,10.0,3,150,0.75,"[47, 14, 17, 17]"
125,poly,1.0,10.0,3,150,1.0,"[49, 12, 16, 18]"
126,linear,10.0,,,50,0.5,"[56, 5, 23, 11]"
127,linear,10.0,,,50,0.75,"[56, 5, 23, 11]"
128,linear,10.0,,,50,1.0,"[57, 4, 25, 9]"
129,linear,10.0,,,100,0.5,"[56, 5, 23, 11]"
130,linear,10.0,,,100,0.75,"[56, 5, 23, 11]"
131,linear,10.0,,,100,1.0,"[57, 4, 25, 9]"
132,linear,10.0,,,150,0.5,"[56, 5, 23, 11]"
133,linear,10.0,,,150,0.75,"[56, 5, 23, 11]"
134,linear,10.0,,,150,1.0,"[57, 4, 25, 9]"
135,rbf,10.0,1,,50,0.5,"[61, 0, 34, 0]"
136,rbf,10.0,1,,50,0.75,"[61, 0, 34, 0]"
137,rbf,10.0,1,,50,1.0,"[61, 0, 34, 0]"
138,rbf,10.0,1,,100,0.5,"[61, 0, 34, 0]"
139,rbf,10.0,1,,100,0.75,"[61, 0, 34, 0]"
140,rbf,10.0,1,,100,1.0,"[61, 0, 34, 0]"
141,rbf,10.0,1,,150,0.5,"[61, 0, 34, 0]"
142,rbf,10.0,1,,150,0.75,"[61, 0, 34, 0]"
143,rbf,10.0,1,,150,1.0,"[61, 0, 34, 0]"
144,poly,10.0,1,2,50,0.5,"[54, 7, 22, 12]"
145,poly,10.0,1,2,50,0.75,"[55, 6, 21, 13]"
146,poly,10.0,1,2,50,1.0,"[48, 13, 22, 12]"
147,poly,10.0,1,2,100,0.5,"[54, 7, 22, 12]"
148,poly,10.0,1,2,100,0.75,"[55, 6, 21, 13]"
149,poly,10.0,1,2,100,1.0,"[48, 13, 22, 12]"
150,poly,10.0,1,2,150,0.5,"[54, 7, 22, 12]"
151,poly,10.0,1,2,150,0.75,"[55, 6, 21, 13]"
152,poly,10.0,1,2,150,1.0,"[48, 13, 22, 12]"
153,poly,10.0,1,3,50,0.5,"[52, 9, 19, 15]"
154,poly,10.0,1,3,50,0.75,"[48, 13, 22, 12]"
155,poly,10.0,1,3,50,1.0,"[48, 13, 20, 14]"
156,poly,10.0,1,3,100,0.5,"[52, 9, 19, 15]"
157,poly,10.0,1,3,100,0.75,"[49, 12, 22, 12]"
158,poly,10.0,1,3,100,1.0,"[48, 13, 20, 14]"
159,poly,10.0,1,3,150,0.5,"[52, 9, 19, 15]"
160,poly,10.0,1,3,150,0.75,"[49, 12, 22, 12]"
161,poly,10.0,1,3,150,1.0,"[48, 13, 20, 14]"
162,rbf,10.0,10.0,,50,0.5,"[61, 0, 34, 0]"
163,rbf,10.0,10.0,,50,0.75,"[61, 0, 34, 0]"
164,rbf,10.0,10.0,,50,1.0,"[61, 0, 34, 0]"
165,rbf,10.0,10.0,,100,0.5,"[61, 0, 34, 0]"
166,rbf,10.0,10.0,,100,0.75,"[61, 0, 34, 0]"
167,rbf,10.0,10.0,,100,1.0,"[61, 0, 34, 0]"
168,rbf,10.0,10.0,,150,0.5,"[61, 0, 34, 0]"
169,rbf,10.0,10.0,,150,0.75,"[61, 0, 34, 0]"
170,rbf,10.0,10.0,,150,1.0,"[61, 0, 34, 0]"
171,poly,10.0,10.0,2,50,0.5,"[52, 9, 19, 15]"
172,poly,10.0,10.0,2,50,0.75,"[52, 9, 20, 14]"
173,poly,10.0,10.0,2,50,1.0,"[49, 12, 22, 12]"
174,poly,10.0,10.0,2,100,0.5,"[52, 9, 19, 15]"
175,poly,10.0,10.0,2,100,0.75,"[52, 9, 20, 14]"
176,poly,10.0,10.0,2,100,1.0,"[49, 12, 22, 12]"
177,poly,10.0,10.0,2,150,0.5,"[52, 9, 19, 15]"
178,poly,10.0,10.0,2,150,0.75,"[52, 9, 20, 14]"
179,poly,10.0,10.0,2,150,1.0,"[49, 12, 22, 12]"
180,poly,10.0,10.0,3,50,0.5,"[45, 16, 19, 15]"
181,poly,10.0,10.0,3,50,0.75,"[44, 17, 17, 17]"
182,poly,10.0,10.0,3,50,1.0,"[47, 14, 21, 13]"
183,poly,10.0,10.0,3,100,0.5,"[45, 16, 19, 15]"
184,poly,10.0,10.0,3,100,0.75,"[44, 17, 17, 17]"
185,poly,10.0,10.0,3,100,1.0,"[47, 14, 21, 13]"
186,poly,10.0,10.0,3,150,0.5,"[45, 16, 19, 15]"
187,poly,10.0,10.0,3,150,0.75,"[44, 17, 17, 17]"
188,poly,10.0,10.0,3,150,1.0,"[47, 14, 21, 13]"
189,linear,100.0,,,50,0.5,"[54, 7, 23, 11]"
190,linear,100.0,,,50,0.75,"[58, 3, 27, 7]"
191,linear,100.0,,,50,1.0,"[58, 3, 27, 7]"
192,linear,100.0,,,100,0.5,"[54, 7, 23, 11]"
193,linear,100.0,,,100,0.75,"[58, 3, 27, 7]"
194,linear,100.0,,,100,1.0,"[58, 3, 27, 7]"
195,linear,100.0,,,150,0.5,"[54, 7, 23, 11]"
196,linear,100.0,,,150,0.75,"[58, 3, 27, 7]"
197,linear,100.0,,,150,1.0,"[58, 3, 27, 7]"
198,rbf,100.0,1,,50,0.5,"[55, 6, 28, 6]"
199,rbf,100.0,1,,50,0.75,"[56, 5, 29, 5]"
200,rbf,100.0,1,,50,1.0,"[53, 8, 19, 15]"
201,rbf,100.0,1,,100,0.5,"[53, 8, 27, 7]"
202,rbf,100.0,1,,100,0.75,"[56, 5, 29, 5]"
203,rbf,100.0,1,,100,1.0,"[53, 8, 19, 15]"
204,rbf,100.0,1,,150,0.5,"[53, 8, 27, 7]"
205,rbf,100.0,1,,150,0.75,"[56, 5, 29, 5]"
206,rbf,100.0,1,,150,1.0,"[53, 8, 19, 15]"
207,poly,100.0,1,2,50,0.5,"[52, 9, 20, 14]"
208,poly,100.0,1,2,50,0.75,"[51, 10, 22, 12]"
209,poly,100.0,1,2,50,1.0,"[51, 10, 23, 11]"
210,poly,100.0,1,2,100,0.5,"[52, 9, 20, 14]"
211,poly,100.0,1,2,100,0.75,"[51, 10, 22, 12]"
212,poly,100.0,1,2,100,1.0,"[51, 10, 23, 11]"
213,poly,100.0,1,2,150,0.5,"[52, 9, 20, 14]"
