,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[56, 5, 21, 14]"
1,0.0001,0.1,"[54, 7, 8, 27]"
2,0.0001,0.2,"[54, 7, 9, 26]"
3,0.001,0.0,"[50, 11, 8, 27]"
4,0.001,0.1,"[50, 11, 8, 27]"
5,0.001,0.2,"[50, 11, 8, 27]"
