,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[44, 17, 8, 27]"
1,300,10,"[42, 19, 9, 26]"
2,300,15,"[42, 19, 9, 26]"
3,500,5,"[44, 17, 8, 27]"
4,500,10,"[42, 19, 9, 26]"
5,500,15,"[42, 19, 9, 26]"
