,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[50, 12, 7, 27]","[50, 11, 9, 26]","[41, 20, 11, 24]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 7, 27]","[46, 15, 14, 20]","[48, 13, 6, 28]"
1,linear,0.1,,,100,"[50, 12, 7, 27]","[50, 11, 9, 26]","[41, 20, 9, 26]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 7, 27]","[44, 17, 16, 18]","[48, 13, 6, 28]"
2,linear,0.1,,,150,"[50, 12, 7, 27]","[50, 11, 9, 26]","[41, 20, 9, 26]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 8, 26]","[44, 17, 14, 20]","[48, 13, 6, 28]"
3,rbf,0.1,1.0,,50,"[51, 11, 9, 25]","[52, 9, 18, 17]","[46, 15, 13, 22]","[48, 13, 13, 22]","[47, 14, 10, 24]","[46, 15, 9, 25]","[49, 12, 13, 21]","[51, 10, 10, 24]","[47, 14, 17, 17]","[48, 13, 6, 28]"
4,rbf,0.1,1.0,,100,"[51, 11, 9, 25]","[52, 9, 18, 17]","[46, 15, 12, 23]","[47, 14, 13, 22]","[47, 14, 10, 24]","[46, 15, 9, 25]","[49, 12, 14, 20]","[51, 10, 10, 24]","[47, 14, 17, 17]","[48, 13, 6, 28]"
5,rbf,0.1,1.0,,150,"[51, 11, 9, 25]","[52, 9, 18, 17]","[46, 15, 12, 23]","[47, 14, 13, 22]","[47, 14, 10, 24]","[46, 15, 9, 25]","[49, 12, 14, 20]","[51, 10, 10, 24]","[47, 14, 17, 17]","[48, 13, 6, 28]"
6,poly,0.1,1.0,2.0,50,"[50, 12, 7, 27]","[49, 12, 9, 26]","[42, 19, 9, 26]","[44, 17, 12, 23]","[45, 16, 10, 24]","[45, 16, 6, 28]","[47, 14, 11, 23]","[49, 12, 6, 28]","[45, 16, 14, 20]","[48, 13, 5, 29]"
7,poly,0.1,1.0,2.0,100,"[50, 12, 7, 27]","[50, 11, 9, 26]","[42, 19, 9, 26]","[44, 17, 12, 23]","[45, 16, 10, 24]","[45, 16, 6, 28]","[47, 14, 11, 23]","[50, 11, 6, 28]","[45, 16, 14, 20]","[48, 13, 5, 29]"
8,poly,0.1,1.0,2.0,150,"[50, 12, 7, 27]","[50, 11, 9, 26]","[42, 19, 9, 26]","[44, 17, 12, 23]","[45, 16, 10, 24]","[45, 16, 6, 28]","[47, 14, 11, 23]","[50, 11, 6, 28]","[45, 16, 14, 20]","[48, 13, 5, 29]"
9,poly,0.1,1.0,3.0,50,"[48, 14, 7, 27]","[52, 9, 10, 25]","[41, 20, 9, 26]","[45, 16, 11, 24]","[45, 16, 10, 24]","[44, 17, 7, 27]","[45, 16, 11, 23]","[51, 10, 7, 27]","[46, 15, 16, 18]","[48, 13, 5, 29]"
10,poly,0.1,1.0,3.0,100,"[48, 14, 7, 27]","[52, 9, 10, 25]","[40, 21, 9, 26]","[45, 16, 11, 24]","[45, 16, 10, 24]","[44, 17, 7, 27]","[45, 16, 11, 23]","[51, 10, 7, 27]","[45, 16, 17, 17]","[48, 13, 5, 29]"
11,poly,0.1,1.0,3.0,150,"[48, 14, 7, 27]","[52, 9, 10, 25]","[39, 22, 9, 26]","[45, 16, 11, 24]","[46, 15, 10, 24]","[44, 17, 7, 27]","[45, 16, 11, 23]","[50, 11, 7, 27]","[45, 16, 17, 17]","[48, 13, 5, 29]"
12,rbf,0.1,10.0,,50,"[55, 7, 15, 19]","[53, 8, 20, 15]","[53, 8, 21, 14]","[49, 12, 18, 17]","[56, 5, 15, 19]","[50, 11, 15, 19]","[51, 10, 17, 17]","[53, 8, 19, 15]","[51, 10, 21, 13]","[49, 12, 13, 21]"
13,rbf,0.1,10.0,,100,"[55, 7, 15, 19]","[53, 8, 20, 15]","[53, 8, 21, 14]","[49, 12, 18, 17]","[56, 5, 15, 19]","[50, 11, 15, 19]","[51, 10, 17, 17]","[54, 7, 24, 10]","[51, 10, 21, 13]","[49, 12, 13, 21]"
14,rbf,0.1,10.0,,150,"[55, 7, 15, 19]","[53, 8, 20, 15]","[53, 8, 21, 14]","[49, 12, 18, 17]","[56, 5, 15, 19]","[50, 11, 15, 19]","[52, 9, 20, 14]","[54, 7, 24, 10]","[51, 10, 21, 13]","[49, 12, 13, 21]"
15,poly,0.1,10.0,2.0,50,"[48, 14, 7, 27]","[52, 9, 11, 24]","[43, 18, 10, 25]","[46, 15, 11, 24]","[44, 17, 10, 24]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 7, 27]","[46, 15, 14, 20]","[48, 13, 5, 29]"
16,poly,0.1,10.0,2.0,100,"[48, 14, 7, 27]","[51, 10, 10, 25]","[43, 18, 10, 25]","[45, 16, 11, 24]","[44, 17, 10, 24]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 7, 27]","[46, 15, 16, 18]","[48, 13, 5, 29]"
17,poly,0.1,10.0,2.0,150,"[48, 14, 7, 27]","[51, 10, 10, 25]","[43, 18, 10, 25]","[45, 16, 11, 24]","[44, 17, 10, 24]","[45, 16, 7, 27]","[46, 15, 12, 22]","[51, 10, 7, 27]","[46, 15, 17, 17]","[48, 13, 5, 29]"
18,poly,0.1,10.0,3.0,50,"[44, 18, 9, 25]","[51, 10, 11, 24]","[39, 22, 10, 25]","[45, 16, 11, 24]","[44, 17, 9, 25]","[45, 16, 7, 27]","[43, 18, 13, 21]","[49, 12, 8, 26]","[45, 16, 17, 17]","[47, 14, 5, 29]"
19,poly,0.1,10.0,3.0,100,"[46, 16, 7, 27]","[51, 10, 11, 24]","[39, 22, 10, 25]","[45, 16, 11, 24]","[43, 18, 9, 25]","[45, 16, 7, 27]","[43, 18, 13, 21]","[50, 11, 8, 26]","[45, 16, 17, 17]","[47, 14, 5, 29]"
20,poly,0.1,10.0,3.0,150,"[47, 15, 9, 25]","[51, 10, 11, 24]","[39, 22, 10, 25]","[44, 17, 11, 24]","[43, 18, 9, 25]","[45, 16, 7, 27]","[43, 18, 12, 22]","[49, 12, 8, 26]","[45, 16, 17, 17]","[47, 14, 6, 28]"
21,linear,1.0,,,50,"[50, 12, 7, 27]","[50, 11, 10, 25]","[41, 20, 11, 24]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 8, 26]","[46, 15, 14, 20]","[48, 13, 6, 28]"
22,linear,1.0,,,100,"[50, 12, 7, 27]","[50, 11, 10, 25]","[41, 20, 9, 26]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 8, 26]","[44, 17, 14, 20]","[48, 13, 6, 28]"
23,linear,1.0,,,150,"[50, 12, 7, 27]","[50, 11, 10, 25]","[41, 20, 9, 26]","[44, 17, 12, 23]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[49, 12, 8, 26]","[44, 17, 14, 20]","[48, 13, 6, 28]"
24,rbf,1.0,1.0,,50,"[50, 12, 9, 25]","[51, 10, 12, 23]","[42, 19, 10, 25]","[46, 15, 11, 24]","[44, 17, 10, 24]","[45, 16, 7, 27]","[47, 14, 13, 21]","[51, 10, 7, 27]","[45, 16, 17, 17]","[48, 13, 5, 29]"
25,rbf,1.0,1.0,,100,"[50, 12, 9, 25]","[52, 9, 12, 23]","[42, 19, 10, 25]","[46, 15, 11, 24]","[44, 17, 9, 25]","[45, 16, 7, 27]","[47, 14, 13, 21]","[51, 10, 7, 27]","[45, 16, 17, 17]","[48, 13, 5, 29]"
26,rbf,1.0,1.0,,150,"[50, 12, 9, 25]","[51, 10, 12, 23]","[41, 20, 10, 25]","[46, 15, 11, 24]","[45, 16, 9, 25]","[45, 16, 7, 27]","[47, 14, 13, 21]","[51, 10, 7, 27]","[45, 16, 17, 17]","[48, 13, 5, 29]"
27,poly,1.0,1.0,2.0,50,"[51, 11, 7, 27]","[51, 10, 9, 26]","[43, 18, 10, 25]","[44, 17, 11, 24]","[45, 16, 10, 24]","[46, 15, 9, 25]","[46, 15, 11, 23]","[51, 10, 7, 27]","[46, 15, 14, 20]","[48, 13, 5, 29]"
28,poly,1.0,1.0,2.0,100,"[51, 11, 7, 27]","[51, 10, 9, 26]","[42, 19, 10, 25]","[44, 17, 11, 24]","[45, 16, 10, 24]","[45, 16, 7, 27]","[46, 15, 11, 23]","[51, 10, 7, 27]","[46, 15, 14, 20]","[48, 13, 5, 29]"
29,poly,1.0,1.0,2.0,150,"[51, 11, 7, 27]","[51, 10, 9, 26]","[42, 19, 10, 25]","[45, 16, 11, 24]","[46, 15, 10, 24]","[45, 16, 7, 27]","[46, 15, 11, 23]","[51, 10, 7, 27]","[46, 15, 14, 20]","[48, 13, 5, 29]"
30,poly,1.0,1.0,3.0,50,"[47, 15, 7, 27]","[51, 10, 11, 24]","[39, 22, 10, 25]","[45, 16, 11, 24]","[43, 18, 9, 25]","[45, 16, 7, 27]","[43, 18, 13, 21]","[49, 12, 7, 27]","[45, 16, 17, 17]","[47, 14, 5, 29]"
