,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[46, 15, 12, 23]"
1,300,10,"[43, 18, 12, 23]"
2,300,15,"[48, 13, 11, 24]"
3,500,5,"[46, 15, 12, 23]"
4,500,10,"[43, 18, 12, 23]"
5,500,15,"[48, 13, 11, 24]"
