,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[33, 28, 6, 28]"
1,0.0001,0.1,"[34, 27, 6, 28]"
2,0.0001,0.2,"[45, 16, 16, 18]"
3,0.001,0.0,"[39, 22, 7, 27]"
4,0.001,0.1,"[39, 22, 7, 27]"
5,0.001,0.2,"[39, 22, 7, 27]"
