,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[52, 10, 27, 7]","[50, 11, 26, 9]","[57, 4, 29, 6]","[60, 1, 28, 7]","[53, 8, 24, 10]","[56, 5, 27, 7]","[55, 6, 25, 9]","[56, 5, 27, 7]","[55, 6, 27, 7]","[51, 10, 24, 10]"
1,0.001,"[53, 9, 28, 6]","[52, 9, 27, 8]","[57, 4, 29, 6]","[60, 1, 28, 7]","[53, 8, 25, 9]","[56, 5, 28, 6]","[57, 4, 25, 9]","[56, 5, 27, 7]","[55, 6, 28, 6]","[51, 10, 24, 10]"
2,0.01,"[56, 6, 28, 6]","[53, 8, 29, 6]","[59, 2, 30, 5]","[60, 1, 30, 5]","[56, 5, 29, 5]","[56, 5, 29, 5]","[60, 1, 29, 5]","[61, 0, 29, 5]","[57, 4, 33, 1]","[55, 6, 27, 7]"
