,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[38, 23, 26, 9]"
1,1,50,0.75,"[59, 2, 34, 1]"
2,1,50,1.0,"[51, 10, 31, 4]"
3,1,100,0.5,"[38, 23, 26, 9]"
4,1,100,0.75,"[59, 2, 34, 1]"
5,1,100,1.0,"[43, 18, 27, 8]"
6,1,150,0.5,"[38, 23, 26, 9]"
7,1,150,0.75,"[59, 2, 34, 1]"
8,1,150,1.0,"[51, 10, 31, 4]"
9,0,50,0.5,"[56, 5, 28, 7]"
10,0,50,0.75,"[56, 5, 28, 7]"
11,0,50,1.0,"[54, 7, 28, 7]"
12,0,100,0.5,"[54, 7, 28, 7]"
13,0,100,0.75,"[54, 7, 28, 7]"
14,0,100,1.0,"[54, 7, 28, 7]"
15,0,150,0.5,"[54, 7, 28, 7]"
16,0,150,0.75,"[54, 7, 28, 7]"
17,0,150,1.0,"[54, 7, 28, 7]"
