,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[50, 11, 7, 28]"
1,linear,0.1,,,100,"[50, 11, 7, 28]"
2,linear,0.1,,,150,"[50, 11, 7, 28]"
3,rbf,0.1,1,,50,"[52, 9, 7, 28]"
4,rbf,0.1,1,,100,"[52, 9, 7, 28]"
5,rbf,0.1,1,,150,"[52, 9, 7, 28]"
6,poly,0.1,1,2,50,"[49, 12, 6, 29]"
7,poly,0.1,1,2,100,"[49, 12, 7, 28]"
8,poly,0.1,1,2,150,"[49, 12, 7, 28]"
9,poly,0.1,1,3,50,"[50, 11, 7, 28]"
10,poly,0.1,1,3,100,"[50, 11, 7, 28]"
11,poly,0.1,1,3,150,"[50, 11, 7, 28]"
12,rbf,0.1,10.0,,50,"[53, 8, 9, 26]"
13,rbf,0.1,10.0,,100,"[53, 8, 9, 26]"
14,rbf,0.1,10.0,,150,"[53, 8, 9, 26]"
15,poly,0.1,10.0,2,50,"[50, 11, 7, 28]"
16,poly,0.1,10.0,2,100,"[51, 10, 7, 28]"
17,poly,0.1,10.0,2,150,"[50, 11, 7, 28]"
18,poly,0.1,10.0,3,50,"[47, 14, 7, 28]"
19,poly,0.1,10.0,3,100,"[46, 15, 7, 28]"
20,poly,0.1,10.0,3,150,"[47, 14, 7, 28]"
21,linear,1.0,,,50,"[50, 11, 7, 28]"
22,linear,1.0,,,100,"[50, 11, 7, 28]"
23,linear,1.0,,,150,"[50, 11, 7, 28]"
24,rbf,1.0,1,,50,"[50, 11, 7, 28]"
25,rbf,1.0,1,,100,"[50, 11, 7, 28]"
26,rbf,1.0,1,,150,"[50, 11, 7, 28]"
27,poly,1.0,1,2,50,"[49, 12, 7, 28]"
28,poly,1.0,1,2,100,"[50, 11, 7, 28]"
29,poly,1.0,1,2,150,"[50, 11, 7, 28]"
30,poly,1.0,1,3,50,"[47, 14, 7, 28]"
31,poly,1.0,1,3,100,"[46, 15, 7, 28]"
32,poly,1.0,1,3,150,"[47, 14, 7, 28]"
33,rbf,1.0,10.0,,50,"[50, 11, 7, 28]"
34,rbf,1.0,10.0,,100,"[50, 11, 7, 28]"
35,rbf,1.0,10.0,,150,"[50, 11, 7, 28]"
36,poly,1.0,10.0,2,50,"[48, 13, 7, 28]"
37,poly,1.0,10.0,2,100,"[48, 13, 7, 28]"
38,poly,1.0,10.0,2,150,"[48, 13, 7, 28]"
39,poly,1.0,10.0,3,50,"[47, 14, 7, 28]"
40,poly,1.0,10.0,3,100,"[46, 15, 7, 28]"
41,poly,1.0,10.0,3,150,"[47, 14, 7, 28]"
