,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[61, 0, 34, 0]"
1,0.0001,0.1,"[61, 0, 34, 0]"
2,0.0001,0.2,"[47, 14, 14, 20]"
3,0.001,0.0,"[43, 18, 14, 20]"
4,0.001,0.1,"[42, 19, 12, 22]"
5,0.001,0.2,"[42, 19, 12, 22]"
