,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[51, 10, 8, 26]"
1,linear,0.1,,,100,"[51, 10, 8, 26]"
2,linear,0.1,,,150,"[50, 11, 8, 26]"
3,rbf,0.1,1,,50,"[54, 7, 11, 23]"
4,rbf,0.1,1,,100,"[54, 7, 11, 23]"
5,rbf,0.1,1,,150,"[54, 7, 11, 23]"
6,poly,0.1,1,2,50,"[51, 10, 8, 26]"
7,poly,0.1,1,2,100,"[51, 10, 8, 26]"
8,poly,0.1,1,2,150,"[51, 10, 8, 26]"
9,poly,0.1,1,3,50,"[50, 11, 10, 24]"
10,poly,0.1,1,3,100,"[50, 11, 10, 24]"
11,poly,0.1,1,3,150,"[50, 11, 10, 24]"
12,rbf,0.1,10.0,,50,"[58, 3, 20, 14]"
13,rbf,0.1,10.0,,100,"[58, 3, 20, 14]"
14,rbf,0.1,10.0,,150,"[58, 3, 20, 14]"
15,poly,0.1,10.0,2,50,"[50, 11, 8, 26]"
16,poly,0.1,10.0,2,100,"[50, 11, 8, 26]"
17,poly,0.1,10.0,2,150,"[50, 11, 8, 26]"
18,poly,0.1,10.0,3,50,"[51, 10, 13, 21]"
19,poly,0.1,10.0,3,100,"[49, 12, 13, 21]"
20,poly,0.1,10.0,3,150,"[49, 12, 13, 21]"
21,linear,1.0,,,50,"[51, 10, 8, 26]"
22,linear,1.0,,,100,"[50, 11, 8, 26]"
23,linear,1.0,,,150,"[49, 12, 8, 26]"
24,rbf,1.0,1,,50,"[50, 11, 10, 24]"
25,rbf,1.0,1,,100,"[50, 11, 10, 24]"
26,rbf,1.0,1,,150,"[50, 11, 10, 24]"
27,poly,1.0,1,2,50,"[51, 10, 8, 26]"
28,poly,1.0,1,2,100,"[51, 10, 8, 26]"
29,poly,1.0,1,2,150,"[51, 10, 8, 26]"
30,poly,1.0,1,3,50,"[49, 12, 10, 24]"
31,poly,1.0,1,3,100,"[48, 13, 10, 24]"
32,poly,1.0,1,3,150,"[48, 13, 10, 24]"
33,rbf,1.0,10.0,,50,"[51, 10, 13, 21]"
34,rbf,1.0,10.0,,100,"[51, 10, 13, 21]"
35,rbf,1.0,10.0,,150,"[51, 10, 13, 21]"
36,poly,1.0,10.0,2,50,"[49, 12, 9, 25]"
37,poly,1.0,10.0,2,100,"[49, 12, 9, 25]"
38,poly,1.0,10.0,2,150,"[49, 12, 9, 25]"
39,poly,1.0,10.0,3,50,"[51, 10, 13, 21]"
40,poly,1.0,10.0,3,100,"[49, 12, 13, 21]"
41,poly,1.0,10.0,3,150,"[49, 12, 13, 21]"
42,linear,10.0,,,50,"[51, 10, 8, 26]"
43,linear,10.0,,,100,"[50, 11, 8, 26]"
44,linear,10.0,,,150,"[49, 12, 8, 26]"
45,rbf,10.0,1,,50,"[51, 10, 13, 21]"
46,rbf,10.0,1,,100,"[51, 10, 13, 21]"
47,rbf,10.0,1,,150,"[51, 10, 13, 21]"
48,poly,10.0,1,2,50,"[50, 11, 8, 26]"
49,poly,10.0,1,2,100,"[50, 11, 8, 26]"
50,poly,10.0,1,2,150,"[50, 11, 8, 26]"
51,poly,10.0,1,3,50,"[51, 10, 14, 20]"
52,poly,10.0,1,3,100,"[49, 12, 13, 21]"
53,poly,10.0,1,3,150,"[50, 11, 13, 21]"
54,rbf,10.0,10.0,,50,"[51, 10, 13, 21]"
55,rbf,10.0,10.0,,100,"[51, 10, 13, 21]"
56,rbf,10.0,10.0,,150,"[51, 10, 13, 21]"
57,poly,10.0,10.0,2,50,"[49, 12, 8, 26]"
58,poly,10.0,10.0,2,100,"[49, 12, 8, 26]"
59,poly,10.0,10.0,2,150,"[49, 12, 8, 26]"
60,poly,10.0,10.0,3,50,"[51, 10, 13, 21]"
61,poly,10.0,10.0,3,100,"[49, 12, 13, 21]"
62,poly,10.0,10.0,3,150,"[49, 12, 13, 21]"
63,linear,100.0,,,50,"[49, 12, 8, 26]"
64,linear,100.0,,,100,"[50, 11, 8, 26]"
65,linear,100.0,,,150,"[49, 12, 8, 26]"
66,rbf,100.0,1,,50,"[51, 10, 13, 21]"
67,rbf,100.0,1,,100,"[51, 10, 13, 21]"
68,rbf,100.0,1,,150,"[51, 10, 13, 21]"
69,poly,100.0,1,2,50,"[49, 12, 9, 25]"
70,poly,100.0,1,2,100,"[49, 12, 9, 25]"
71,poly,100.0,1,2,150,"[49, 12, 9, 25]"
72,poly,100.0,1,3,50,"[51, 10, 13, 21]"
73,poly,100.0,1,3,100,"[49, 12, 13, 21]"
74,poly,100.0,1,3,150,"[50, 11, 13, 21]"
75,rbf,100.0,10.0,,50,"[51, 10, 13, 21]"
76,rbf,100.0,10.0,,100,"[51, 10, 13, 21]"
77,rbf,100.0,10.0,,150,"[51, 10, 13, 21]"
78,poly,100.0,10.0,2,50,"[49, 12, 8, 26]"
79,poly,100.0,10.0,2,100,"[49, 12, 8, 26]"
80,poly,100.0,10.0,2,150,"[49, 12, 8, 26]"
81,poly,100.0,10.0,3,50,"[51, 10, 13, 21]"
82,poly,100.0,10.0,3,100,"[49, 12, 13, 21]"
83,poly,100.0,10.0,3,150,"[49, 12, 13, 21]"
84,linear,1000.0,,,50,"[52, 9, 8, 26]"
85,linear,1000.0,,,100,"[51, 10, 8, 26]"
86,linear,1000.0,,,150,"[51, 10, 8, 26]"
87,rbf,1000.0,1,,50,"[51, 10, 13, 21]"
88,rbf,1000.0,1,,100,"[51, 10, 13, 21]"
89,rbf,1000.0,1,,150,"[51, 10, 13, 21]"
90,poly,1000.0,1,2,50,"[49, 12, 8, 26]"
91,poly,1000.0,1,2,100,"[49, 12, 8, 26]"
92,poly,1000.0,1,2,150,"[49, 12, 8, 26]"
93,poly,1000.0,1,3,50,"[50, 11, 9, 25]"
94,poly,1000.0,1,3,100,"[49, 12, 13, 21]"
95,poly,1000.0,1,3,150,"[50, 11, 13, 21]"
96,rbf,1000.0,10.0,,50,"[51, 10, 13, 21]"
97,rbf,1000.0,10.0,,100,"[51, 10, 13, 21]"
98,rbf,1000.0,10.0,,150,"[51, 10, 13, 21]"
99,poly,1000.0,10.0,2,50,"[49, 12, 8, 26]"
100,poly,1000.0,10.0,2,100,"[49, 12, 8, 26]"
101,poly,1000.0,10.0,2,150,"[49, 12, 8, 26]"
102,poly,1000.0,10.0,3,50,"[51, 10, 13, 21]"
103,poly,1000.0,10.0,3,100,"[49, 12, 13, 21]"
104,poly,1000.0,10.0,3,150,"[49, 12, 13, 21]"
