,Alpha,L1 ratio,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,0.0,"[46, 16, 7, 27]","[41, 20, 8, 27]","[56, 5, 21, 14]","[52, 9, 14, 21]","[53, 8, 17, 17]","[59, 2, 33, 1]","[61, 0, 34, 0]","[38, 23, 7, 27]","[55, 6, 32, 2]","[55, 6, 30, 4]"
1,0.0001,0.1,"[47, 15, 8, 26]","[41, 20, 8, 27]","[54, 7, 8, 27]","[49, 12, 12, 23]","[58, 3, 23, 11]","[50, 11, 13, 21]","[61, 0, 34, 0]","[38, 23, 7, 27]","[54, 7, 31, 3]","[55, 6, 30, 4]"
2,0.0001,0.2,"[53, 9, 23, 11]","[41, 20, 8, 27]","[54, 7, 9, 26]","[49, 12, 12, 23]","[53, 8, 17, 17]","[46, 15, 9, 25]","[61, 0, 34, 0]","[38, 23, 7, 27]","[54, 7, 31, 3]","[55, 6, 30, 4]"
3,0.001,0.0,"[46, 16, 8, 26]","[45, 16, 11, 24]","[50, 11, 8, 27]","[48, 13, 9, 26]","[50, 11, 6, 28]","[44, 17, 8, 26]","[42, 19, 9, 25]","[46, 15, 9, 25]","[46, 15, 15, 19]","[42, 19, 11, 23]"
4,0.001,0.1,"[46, 16, 8, 26]","[46, 15, 10, 25]","[50, 11, 8, 27]","[48, 13, 9, 26]","[50, 11, 6, 28]","[45, 16, 8, 26]","[42, 19, 9, 25]","[46, 15, 9, 25]","[46, 15, 15, 19]","[43, 18, 12, 22]"
5,0.001,0.2,"[46, 16, 8, 26]","[46, 15, 10, 25]","[50, 11, 8, 27]","[48, 13, 9, 26]","[50, 11, 6, 28]","[45, 16, 8, 26]","[42, 19, 9, 25]","[46, 15, 9, 25]","[46, 15, 15, 19]","[43, 18, 12, 22]"
