,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 4, 31]"
1,300,10,"[50, 11, 10, 25]"
2,300,15,"[50, 11, 10, 25]"
3,500,5,"[51, 10, 4, 31]"
4,500,10,"[50, 11, 10, 25]"
5,500,15,"[50, 11, 10, 25]"
