,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[44, 18, 8, 26]"
1,linear,0.1,,,100,"[45, 17, 9, 25]"
2,linear,0.1,,,150,"[45, 17, 9, 25]"
3,rbf,0.1,1,,50,"[45, 17, 13, 21]"
4,rbf,0.1,1,,100,"[45, 17, 13, 21]"
5,rbf,0.1,1,,150,"[45, 17, 13, 21]"
6,poly,0.1,1,2,50,"[43, 19, 8, 26]"
7,poly,0.1,1,2,100,"[43, 19, 8, 26]"
8,poly,0.1,1,2,150,"[43, 19, 8, 26]"
9,poly,0.1,1,3,50,"[43, 19, 8, 26]"
10,poly,0.1,1,3,100,"[44, 18, 8, 26]"
11,poly,0.1,1,3,150,"[43, 19, 8, 26]"
12,rbf,0.1,10.0,,50,"[53, 9, 24, 10]"
13,rbf,0.1,10.0,,100,"[53, 9, 24, 10]"
14,rbf,0.1,10.0,,150,"[53, 9, 24, 10]"
15,poly,0.1,10.0,2,50,"[44, 18, 9, 25]"
16,poly,0.1,10.0,2,100,"[43, 19, 9, 25]"
17,poly,0.1,10.0,2,150,"[43, 19, 9, 25]"
18,poly,0.1,10.0,3,50,"[41, 21, 7, 27]"
19,poly,0.1,10.0,3,100,"[41, 21, 7, 27]"
20,poly,0.1,10.0,3,150,"[40, 22, 7, 27]"
21,linear,1.0,,,50,"[44, 18, 8, 26]"
22,linear,1.0,,,100,"[45, 17, 9, 25]"
23,linear,1.0,,,150,"[45, 17, 9, 25]"
24,rbf,1.0,1,,50,"[43, 19, 8, 26]"
25,rbf,1.0,1,,100,"[43, 19, 8, 26]"
26,rbf,1.0,1,,150,"[43, 19, 8, 26]"
27,poly,1.0,1,2,50,"[44, 18, 9, 25]"
28,poly,1.0,1,2,100,"[44, 18, 8, 26]"
29,poly,1.0,1,2,150,"[44, 18, 8, 26]"
30,poly,1.0,1,3,50,"[42, 20, 8, 26]"
31,poly,1.0,1,3,100,"[44, 18, 8, 26]"
32,poly,1.0,1,3,150,"[44, 18, 8, 26]"
33,rbf,1.0,10.0,,50,"[41, 21, 8, 26]"
34,rbf,1.0,10.0,,100,"[41, 21, 9, 25]"
35,rbf,1.0,10.0,,150,"[41, 21, 11, 23]"
36,poly,1.0,10.0,2,50,"[42, 20, 8, 26]"
37,poly,1.0,10.0,2,100,"[42, 20, 8, 26]"
38,poly,1.0,10.0,2,150,"[42, 20, 8, 26]"
39,poly,1.0,10.0,3,50,"[40, 22, 7, 27]"
40,poly,1.0,10.0,3,100,"[41, 21, 7, 27]"
41,poly,1.0,10.0,3,150,"[40, 22, 7, 27]"
42,linear,10.0,,,50,"[44, 18, 8, 26]"
43,linear,10.0,,,100,"[45, 17, 9, 25]"
44,linear,10.0,,,150,"[45, 17, 9, 25]"
45,rbf,10.0,1,,50,"[41, 21, 8, 26]"
46,rbf,10.0,1,,100,"[41, 21, 8, 26]"
47,rbf,10.0,1,,150,"[41, 21, 8, 26]"
48,poly,10.0,1,2,50,"[43, 19, 9, 25]"
