,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[44, 18, 11, 23]","[37, 24, 12, 23]","[37, 24, 14, 21]","[23, 38, 16, 19]","[34, 27, 11, 23]","[33, 28, 7, 27]","[31, 30, 11, 23]","[43, 18, 13, 21]","[39, 22, 20, 14]","[35, 26, 10, 24]"
1,0,"[54, 8, 19, 15]","[56, 5, 30, 5]","[50, 11, 31, 4]","[52, 9, 30, 5]","[55, 6, 28, 6]","[58, 3, 24, 10]","[56, 5, 21, 13]","[56, 5, 30, 4]","[54, 7, 31, 3]","[53, 8, 25, 9]"
