,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[39, 22, 25, 9]"
1,1,50,0.75,"[46, 15, 22, 12]"
2,1,50,1.0,"[61, 0, 34, 0]"
3,1,100,0.5,"[39, 22, 25, 9]"
4,1,100,0.75,"[46, 15, 22, 12]"
5,1,100,1.0,"[61, 0, 34, 0]"
6,1,150,0.5,"[39, 22, 25, 9]"
7,1,150,0.75,"[46, 15, 22, 12]"
8,1,150,1.0,"[61, 0, 34, 0]"
9,0,50,0.5,"[55, 6, 27, 7]"
10,0,50,0.75,"[55, 6, 26, 8]"
11,0,50,1.0,"[55, 6, 25, 9]"
12,0,100,0.5,"[55, 6, 25, 9]"
13,0,100,0.75,"[55, 6, 25, 9]"
14,0,100,1.0,"[54, 7, 25, 9]"
15,0,150,0.5,"[55, 6, 25, 9]"
16,0,150,0.75,"[54, 7, 25, 9]"
17,0,150,1.0,"[54, 7, 25, 9]"
