,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[52, 9, 14, 21]"
1,0.0001,0.1,"[49, 12, 12, 23]"
2,0.0001,0.2,"[49, 12, 12, 23]"
3,0.001,0.0,"[48, 13, 9, 26]"
4,0.001,0.1,"[48, 13, 9, 26]"
5,0.001,0.2,"[48, 13, 9, 26]"
