,Alpha,L1 ratio,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,0.0,"[51, 11, 10, 24]","[52, 9, 18, 17]","[40, 21, 9, 26]","[41, 20, 11, 24]","[58, 3, 32, 2]","[51, 10, 26, 8]","[53, 8, 21, 13]","[50, 11, 6, 28]","[61, 0, 34, 0]","[48, 13, 5, 29]"
1,0.0001,0.1,"[43, 19, 5, 29]","[61, 0, 35, 0]","[41, 20, 9, 26]","[40, 21, 11, 24]","[61, 0, 34, 0]","[51, 10, 24, 10]","[52, 9, 17, 17]","[50, 11, 6, 28]","[61, 0, 34, 0]","[48, 13, 5, 29]"
2,0.0001,0.2,"[43, 19, 5, 29]","[50, 11, 13, 22]","[45, 16, 12, 23]","[40, 21, 11, 24]","[61, 0, 34, 0]","[37, 24, 4, 30]","[52, 9, 17, 17]","[50, 11, 6, 28]","[47, 14, 14, 20]","[48, 13, 6, 28]"
3,0.001,0.0,"[45, 17, 7, 27]","[49, 12, 6, 29]","[41, 20, 9, 26]","[44, 17, 11, 24]","[46, 15, 10, 24]","[46, 15, 6, 28]","[48, 13, 10, 24]","[50, 11, 12, 22]","[43, 18, 14, 20]","[48, 13, 9, 25]"
4,0.001,0.1,"[45, 17, 7, 27]","[49, 12, 6, 29]","[41, 20, 9, 26]","[44, 17, 11, 24]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[50, 11, 12, 22]","[42, 19, 12, 22]","[48, 13, 9, 25]"
5,0.001,0.2,"[45, 17, 7, 27]","[49, 12, 6, 29]","[41, 20, 9, 26]","[44, 17, 11, 24]","[46, 15, 10, 24]","[45, 16, 6, 28]","[48, 13, 10, 24]","[50, 11, 12, 22]","[42, 19, 12, 22]","[48, 13, 9, 25]"
