,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[54, 7, 7, 28]"
1,linear,0.1,,,100,"[54, 7, 7, 28]"
2,linear,0.1,,,150,"[54, 7, 7, 28]"
3,rbf,0.1,1,,50,"[54, 7, 12, 23]"
4,rbf,0.1,1,,100,"[54, 7, 12, 23]"
5,rbf,0.1,1,,150,"[54, 7, 12, 23]"
6,poly,0.1,1,2,50,"[54, 7, 5, 30]"
7,poly,0.1,1,2,100,"[54, 7, 5, 30]"
8,poly,0.1,1,2,150,"[53, 8, 5, 30]"
9,poly,0.1,1,3,50,"[53, 8, 9, 26]"
10,poly,0.1,1,3,100,"[53, 8, 9, 26]"
11,poly,0.1,1,3,150,"[53, 8, 9, 26]"
12,rbf,0.1,10.0,,50,"[54, 7, 19, 16]"
13,rbf,0.1,10.0,,100,"[54, 7, 19, 16]"
14,rbf,0.1,10.0,,150,"[54, 7, 19, 16]"
15,poly,0.1,10.0,2,50,"[53, 8, 9, 26]"
16,poly,0.1,10.0,2,100,"[53, 8, 6, 29]"
17,poly,0.1,10.0,2,150,"[53, 8, 6, 29]"
18,poly,0.1,10.0,3,50,"[52, 9, 8, 27]"
19,poly,0.1,10.0,3,100,"[52, 9, 8, 27]"
20,poly,0.1,10.0,3,150,"[52, 9, 8, 27]"
21,linear,1.0,,,50,"[54, 7, 7, 28]"
22,linear,1.0,,,100,"[54, 7, 7, 28]"
23,linear,1.0,,,150,"[54, 7, 7, 28]"
24,rbf,1.0,1,,50,"[53, 8, 9, 26]"
25,rbf,1.0,1,,100,"[53, 8, 9, 26]"
26,rbf,1.0,1,,150,"[53, 8, 9, 26]"
27,poly,1.0,1,2,50,"[53, 8, 6, 29]"
28,poly,1.0,1,2,100,"[53, 8, 6, 29]"
29,poly,1.0,1,2,150,"[53, 8, 6, 29]"
30,poly,1.0,1,3,50,"[52, 9, 8, 27]"
31,poly,1.0,1,3,100,"[52, 9, 8, 27]"
32,poly,1.0,1,3,150,"[52, 9, 8, 27]"
33,rbf,1.0,10.0,,50,"[52, 9, 11, 24]"
34,rbf,1.0,10.0,,100,"[52, 9, 11, 24]"
35,rbf,1.0,10.0,,150,"[52, 9, 11, 24]"
36,poly,1.0,10.0,2,50,"[53, 8, 9, 26]"
37,poly,1.0,10.0,2,100,"[53, 8, 9, 26]"
38,poly,1.0,10.0,2,150,"[53, 8, 9, 26]"
39,poly,1.0,10.0,3,50,"[52, 9, 8, 27]"
40,poly,1.0,10.0,3,100,"[52, 9, 8, 27]"
41,poly,1.0,10.0,3,150,"[52, 9, 8, 27]"
42,linear,10.0,,,50,"[54, 7, 7, 28]"
43,linear,10.0,,,100,"[54, 7, 7, 28]"
44,linear,10.0,,,150,"[54, 7, 7, 28]"
45,rbf,10.0,1,,50,"[52, 9, 8, 27]"
46,rbf,10.0,1,,100,"[52, 9, 8, 27]"
47,rbf,10.0,1,,150,"[52, 9, 8, 27]"
48,poly,10.0,1,2,50,"[53, 8, 6, 29]"
49,poly,10.0,1,2,100,"[53, 8, 6, 29]"
50,poly,10.0,1,2,150,"[53, 8, 6, 29]"
51,poly,10.0,1,3,50,"[52, 9, 8, 27]"
52,poly,10.0,1,3,100,"[52, 9, 8, 27]"
53,poly,10.0,1,3,150,"[52, 9, 8, 27]"
54,rbf,10.0,10.0,,50,"[52, 9, 11, 24]"
55,rbf,10.0,10.0,,100,"[52, 9, 11, 24]"
56,rbf,10.0,10.0,,150,"[52, 9, 11, 24]"
57,poly,10.0,10.0,2,50,"[52, 9, 5, 30]"
58,poly,10.0,10.0,2,100,"[52, 9, 8, 27]"
59,poly,10.0,10.0,2,150,"[52, 9, 8, 27]"
60,poly,10.0,10.0,3,50,"[52, 9, 8, 27]"
61,poly,10.0,10.0,3,100,"[52, 9, 8, 27]"
62,poly,10.0,10.0,3,150,"[52, 9, 8, 27]"
63,linear,100.0,,,50,"[54, 7, 7, 28]"
64,linear,100.0,,,100,"[54, 7, 7, 28]"
65,linear,100.0,,,150,"[54, 7, 7, 28]"
66,rbf,100.0,1,,50,"[52, 9, 8, 27]"
67,rbf,100.0,1,,100,"[52, 9, 8, 27]"
68,rbf,100.0,1,,150,"[52, 9, 8, 27]"
69,poly,100.0,1,2,50,"[53, 8, 9, 26]"
70,poly,100.0,1,2,100,"[53, 8, 9, 26]"
71,poly,100.0,1,2,150,"[53, 8, 9, 26]"
72,poly,100.0,1,3,50,"[52, 9, 8, 27]"
73,poly,100.0,1,3,100,"[52, 9, 8, 27]"
74,poly,100.0,1,3,150,"[52, 9, 8, 27]"
75,rbf,100.0,10.0,,50,"[52, 9, 11, 24]"
76,rbf,100.0,10.0,,100,"[52, 9, 11, 24]"
77,rbf,100.0,10.0,,150,"[52, 9, 11, 24]"
78,poly,100.0,10.0,2,50,"[52, 9, 6, 29]"
79,poly,100.0,10.0,2,100,"[52, 9, 5, 30]"
80,poly,100.0,10.0,2,150,"[52, 9, 6, 29]"
81,poly,100.0,10.0,3,50,"[52, 9, 8, 27]"
82,poly,100.0,10.0,3,100,"[52, 9, 8, 27]"
83,poly,100.0,10.0,3,150,"[52, 9, 8, 27]"
84,linear,1000.0,,,50,"[54, 7, 7, 28]"
85,linear,1000.0,,,100,"[54, 7, 6, 29]"
86,linear,1000.0,,,150,"[54, 7, 6, 29]"
87,rbf,1000.0,1,,50,"[52, 9, 8, 27]"
