,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[44, 17, 8, 26]"
1,linear,0.1,,,100,"[43, 18, 8, 26]"
2,linear,0.1,,,150,"[43, 18, 8, 26]"
3,rbf,0.1,1,,50,"[47, 14, 8, 26]"
4,rbf,0.1,1,,100,"[47, 14, 8, 26]"
5,rbf,0.1,1,,150,"[47, 14, 8, 26]"
6,poly,0.1,1,2,50,"[44, 17, 7, 27]"
7,poly,0.1,1,2,100,"[44, 17, 7, 27]"
8,poly,0.1,1,2,150,"[44, 17, 7, 27]"
9,poly,0.1,1,3,50,"[43, 18, 7, 27]"
10,poly,0.1,1,3,100,"[42, 19, 7, 27]"
11,poly,0.1,1,3,150,"[42, 19, 7, 27]"
12,rbf,0.1,10.0,,50,"[55, 6, 16, 18]"
13,rbf,0.1,10.0,,100,"[55, 6, 16, 18]"
14,rbf,0.1,10.0,,150,"[55, 6, 16, 18]"
15,poly,0.1,10.0,2,50,"[42, 19, 7, 27]"
16,poly,0.1,10.0,2,100,"[42, 19, 7, 27]"
17,poly,0.1,10.0,2,150,"[43, 18, 7, 27]"
18,poly,0.1,10.0,3,50,"[41, 20, 7, 27]"
19,poly,0.1,10.0,3,100,"[40, 21, 7, 27]"
20,poly,0.1,10.0,3,150,"[41, 20, 7, 27]"
21,linear,1.0,,,50,"[43, 18, 8, 26]"
22,linear,1.0,,,100,"[43, 18, 8, 26]"
23,linear,1.0,,,150,"[43, 18, 8, 26]"
24,rbf,1.0,1,,50,"[45, 16, 7, 27]"
25,rbf,1.0,1,,100,"[45, 16, 7, 27]"
26,rbf,1.0,1,,150,"[45, 16, 7, 27]"
27,poly,1.0,1,2,50,"[44, 17, 7, 27]"
28,poly,1.0,1,2,100,"[44, 17, 7, 27]"
29,poly,1.0,1,2,150,"[44, 17, 7, 27]"
30,poly,1.0,1,3,50,"[42, 19, 7, 27]"
31,poly,1.0,1,3,100,"[42, 19, 7, 27]"
32,poly,1.0,1,3,150,"[41, 20, 7, 27]"
33,rbf,1.0,10.0,,50,"[45, 16, 7, 27]"
34,rbf,1.0,10.0,,100,"[45, 16, 7, 27]"
35,rbf,1.0,10.0,,150,"[45, 16, 7, 27]"
36,poly,1.0,10.0,2,50,"[43, 18, 7, 27]"
37,poly,1.0,10.0,2,100,"[43, 18, 7, 27]"
38,poly,1.0,10.0,2,150,"[43, 18, 7, 27]"
39,poly,1.0,10.0,3,50,"[41, 20, 7, 27]"
40,poly,1.0,10.0,3,100,"[41, 20, 7, 27]"
41,poly,1.0,10.0,3,150,"[41, 20, 7, 27]"
42,linear,10.0,,,50,"[43, 18, 8, 26]"
43,linear,10.0,,,100,"[43, 18, 8, 26]"
44,linear,10.0,,,150,"[44, 17, 8, 26]"
45,rbf,10.0,1,,50,"[45, 16, 7, 27]"
46,rbf,10.0,1,,100,"[45, 16, 7, 27]"
47,rbf,10.0,1,,150,"[45, 16, 7, 27]"
48,poly,10.0,1,2,50,"[42, 19, 7, 27]"
49,poly,10.0,1,2,100,"[42, 19, 7, 27]"
50,poly,10.0,1,2,150,"[43, 18, 7, 27]"
51,poly,10.0,1,3,50,"[41, 20, 7, 27]"
52,poly,10.0,1,3,100,"[41, 20, 7, 27]"
53,poly,10.0,1,3,150,"[41, 20, 7, 27]"
54,rbf,10.0,10.0,,50,"[45, 16, 7, 27]"
55,rbf,10.0,10.0,,100,"[45, 16, 7, 27]"
56,rbf,10.0,10.0,,150,"[45, 16, 7, 27]"
57,poly,10.0,10.0,2,50,"[43, 18, 7, 27]"
58,poly,10.0,10.0,2,100,"[43, 18, 7, 27]"
59,poly,10.0,10.0,2,150,"[44, 17, 7, 27]"
