,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[45, 16, 9, 26]"
1,300,10,"[49, 12, 11, 24]"
2,300,15,"[49, 12, 11, 24]"
3,500,5,"[46, 15, 9, 26]"
4,500,10,"[49, 12, 11, 24]"
5,500,15,"[49, 12, 11, 24]"
