,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[16, 46, 2, 32]","[23, 38, 3, 32]","[18, 43, 4, 31]","[22, 39, 7, 28]","[15, 46, 2, 32]","[20, 41, 4, 30]","[18, 43, 3, 31]","[21, 40, 0, 34]","[22, 39, 5, 29]","[14, 47, 3, 31]"
1,0,"[51, 11, 6, 28]","[49, 12, 10, 25]","[42, 19, 10, 25]","[43, 18, 12, 23]","[45, 16, 7, 27]","[45, 16, 8, 26]","[46, 15, 9, 25]","[46, 15, 6, 28]","[44, 17, 14, 20]","[49, 12, 5, 29]"
