,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[47, 14, 11, 24]"
1,300,10,"[47, 14, 11, 24]"
2,300,15,"[50, 11, 21, 14]"
3,500,5,"[48, 13, 11, 24]"
4,500,10,"[47, 14, 11, 24]"
5,500,15,"[50, 11, 20, 15]"
