,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[48, 13, 14, 21]"
1,0.0001,0.1,"[48, 13, 13, 22]"
2,0.0001,0.2,"[48, 13, 13, 22]"
3,0.001,0.0,"[49, 12, 11, 24]"
4,0.001,0.1,"[49, 12, 11, 24]"
5,0.001,0.2,"[49, 12, 11, 24]"
