,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[55, 6, 32, 2]"
1,0.0001,0.1,"[54, 7, 31, 3]"
2,0.0001,0.2,"[54, 7, 31, 3]"
3,0.001,0.0,"[46, 15, 15, 19]"
4,0.001,0.1,"[46, 15, 15, 19]"
5,0.001,0.2,"[46, 15, 15, 19]"
