,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[53, 8, 33, 2]"
1,1,50,0.75,"[57, 4, 34, 1]"
2,1,50,1.0,"[2, 59, 0, 35]"
3,1,100,0.5,"[53, 8, 33, 2]"
4,1,100,0.75,"[57, 4, 34, 1]"
5,1,100,1.0,"[2, 59, 0, 35]"
6,1,150,0.5,"[53, 8, 33, 2]"
7,1,150,0.75,"[57, 4, 34, 1]"
8,1,150,1.0,"[2, 59, 0, 35]"
9,0,50,0.5,"[57, 4, 30, 5]"
10,0,50,0.75,"[57, 4, 30, 5]"
11,0,50,1.0,"[57, 4, 30, 5]"
12,0,100,0.5,"[57, 4, 30, 5]"
13,0,100,0.75,"[57, 4, 30, 5]"
14,0,100,1.0,"[57, 4, 30, 5]"
15,0,150,0.5,"[57, 4, 30, 5]"
16,0,150,0.75,"[57, 4, 30, 5]"
17,0,150,1.0,"[57, 4, 30, 5]"
