,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 7, 28]"
1,300,10,"[51, 10, 4, 31]"
2,300,15,"[51, 10, 6, 29]"
3,500,5,"[51, 10, 6, 29]"
4,500,10,"[51, 10, 4, 31]"
5,500,15,"[50, 11, 6, 29]"
