,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[42, 19, 3, 31]"
1,0.0001,0.1,"[42, 19, 3, 31]"
2,0.0001,0.2,"[42, 19, 3, 31]"
3,0.001,0.0,"[51, 10, 17, 17]"
4,0.001,0.1,"[51, 10, 17, 17]"
5,0.001,0.2,"[51, 10, 17, 17]"
