,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[41, 20, 8, 27]"
1,0.0001,0.1,"[44, 17, 8, 27]"
2,0.0001,0.2,"[44, 17, 8, 27]"
3,0.001,0.0,"[41, 20, 8, 27]"
4,0.001,0.1,"[41, 20, 8, 27]"
5,0.001,0.2,"[41, 20, 8, 27]"
