,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[46, 15, 6, 28]"
1,300,10,"[45, 16, 7, 27]"
2,300,15,"[45, 16, 7, 27]"
3,500,5,"[46, 15, 6, 28]"
4,500,10,"[45, 16, 7, 27]"
5,500,15,"[45, 16, 7, 27]"
