,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[56, 5, 33, 1]"
1,1,50,0.75,"[51, 10, 25, 9]"
2,1,50,1.0,"[56, 5, 30, 4]"
3,1,100,0.5,"[56, 5, 33, 1]"
4,1,100,0.75,"[47, 14, 19, 15]"
5,1,100,1.0,"[38, 23, 16, 18]"
6,1,150,0.5,"[56, 5, 33, 1]"
7,1,150,0.75,"[51, 10, 25, 9]"
8,1,150,1.0,"[38, 23, 16, 18]"
9,0,50,0.5,"[58, 3, 26, 8]"
10,0,50,0.75,"[58, 3, 26, 8]"
11,0,50,1.0,"[58, 3, 26, 8]"
12,0,100,0.5,"[58, 3, 26, 8]"
13,0,100,0.75,"[57, 4, 26, 8]"
14,0,100,1.0,"[57, 4, 26, 8]"
15,0,150,0.5,"[57, 4, 26, 8]"
16,0,150,0.75,"[57, 4, 26, 8]"
17,0,150,1.0,"[57, 4, 26, 8]"
