,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[45, 16, 8, 26]"
1,linear,0.1,,,100,"[45, 16, 8, 26]"
2,linear,0.1,,,150,"[45, 16, 8, 26]"
3,rbf,0.1,1,,50,"[48, 13, 11, 23]"
4,rbf,0.1,1,,100,"[48, 13, 11, 23]"
5,rbf,0.1,1,,150,"[48, 13, 11, 23]"
6,poly,0.1,1,2,50,"[45, 16, 8, 26]"
7,poly,0.1,1,2,100,"[45, 16, 8, 26]"
8,poly,0.1,1,2,150,"[45, 16, 8, 26]"
9,poly,0.1,1,3,50,"[47, 14, 10, 24]"
10,poly,0.1,1,3,100,"[45, 16, 8, 26]"
11,poly,0.1,1,3,150,"[45, 16, 7, 27]"
12,rbf,0.1,10.0,,50,"[52, 9, 15, 19]"
13,rbf,0.1,10.0,,100,"[52, 9, 15, 19]"
14,rbf,0.1,10.0,,150,"[52, 9, 15, 19]"
15,poly,0.1,10.0,2,50,"[45, 16, 8, 26]"
16,poly,0.1,10.0,2,100,"[45, 16, 8, 26]"
17,poly,0.1,10.0,2,150,"[45, 16, 8, 26]"
18,poly,0.1,10.0,3,50,"[44, 17, 9, 25]"
19,poly,0.1,10.0,3,100,"[45, 16, 10, 24]"
20,poly,0.1,10.0,3,150,"[44, 17, 10, 24]"
21,linear,1.0,,,50,"[45, 16, 7, 27]"
22,linear,1.0,,,100,"[45, 16, 8, 26]"
23,linear,1.0,,,150,"[45, 16, 8, 26]"
24,rbf,1.0,1,,50,"[48, 13, 13, 21]"
25,rbf,1.0,1,,100,"[47, 14, 12, 22]"
26,rbf,1.0,1,,150,"[47, 14, 11, 23]"
27,poly,1.0,1,2,50,"[45, 16, 8, 26]"
28,poly,1.0,1,2,100,"[45, 16, 8, 26]"
29,poly,1.0,1,2,150,"[45, 16, 8, 26]"
30,poly,1.0,1,3,50,"[48, 13, 13, 21]"
31,poly,1.0,1,3,100,"[47, 14, 9, 25]"
32,poly,1.0,1,3,150,"[45, 16, 9, 25]"
33,rbf,1.0,10.0,,50,"[47, 14, 11, 23]"
34,rbf,1.0,10.0,,100,"[47, 14, 11, 23]"
35,rbf,1.0,10.0,,150,"[47, 14, 10, 24]"
36,poly,1.0,10.0,2,50,"[44, 17, 6, 28]"
37,poly,1.0,10.0,2,100,"[44, 17, 6, 28]"
38,poly,1.0,10.0,2,150,"[44, 17, 5, 29]"
39,poly,1.0,10.0,3,50,"[45, 16, 9, 25]"
40,poly,1.0,10.0,3,100,"[45, 16, 10, 24]"
41,poly,1.0,10.0,3,150,"[44, 17, 10, 24]"
42,linear,10.0,,,50,"[45, 16, 7, 27]"
43,linear,10.0,,,100,"[45, 16, 8, 26]"
44,linear,10.0,,,150,"[45, 16, 8, 26]"
45,rbf,10.0,1,,50,"[45, 16, 10, 24]"
46,rbf,10.0,1,,100,"[47, 14, 10, 24]"
47,rbf,10.0,1,,150,"[47, 14, 10, 24]"
48,poly,10.0,1,2,50,"[45, 16, 8, 26]"
49,poly,10.0,1,2,100,"[45, 16, 8, 26]"
50,poly,10.0,1,2,150,"[45, 16, 8, 26]"
51,poly,10.0,1,3,50,"[45, 16, 11, 23]"
52,poly,10.0,1,3,100,"[44, 17, 10, 24]"
53,poly,10.0,1,3,150,"[43, 18, 10, 24]"
54,rbf,10.0,10.0,,50,"[47, 14, 11, 23]"
55,rbf,10.0,10.0,,100,"[47, 14, 11, 23]"
56,rbf,10.0,10.0,,150,"[47, 14, 10, 24]"
57,poly,10.0,10.0,2,50,"[43, 18, 5, 29]"
58,poly,10.0,10.0,2,100,"[41, 20, 2, 32]"
59,poly,10.0,10.0,2,150,"[43, 18, 4, 30]"
60,poly,10.0,10.0,3,50,"[44, 17, 9, 25]"
61,poly,10.0,10.0,3,100,"[45, 16, 10, 24]"
62,poly,10.0,10.0,3,150,"[45, 16, 10, 24]"
63,linear,100.0,,,50,"[45, 16, 7, 27]"
64,linear,100.0,,,100,"[45, 16, 7, 27]"
65,linear,100.0,,,150,"[45, 16, 7, 27]"
66,rbf,100.0,1,,50,"[45, 16, 10, 24]"
67,rbf,100.0,1,,100,"[47, 14, 10, 24]"
68,rbf,100.0,1,,150,"[47, 14, 10, 24]"
69,poly,100.0,1,2,50,"[45, 16, 7, 27]"
70,poly,100.0,1,2,100,"[45, 16, 6, 28]"
71,poly,100.0,1,2,150,"[45, 16, 6, 28]"
72,poly,100.0,1,3,50,"[44, 17, 10, 24]"
73,poly,100.0,1,3,100,"[45, 16, 10, 24]"
74,poly,100.0,1,3,150,"[44, 17, 10, 24]"
75,rbf,100.0,10.0,,50,"[47, 14, 11, 23]"
76,rbf,100.0,10.0,,100,"[47, 14, 11, 23]"
77,rbf,100.0,10.0,,150,"[47, 14, 10, 24]"
78,poly,100.0,10.0,2,50,"[41, 20, 2, 32]"
79,poly,100.0,10.0,2,100,"[43, 18, 4, 30]"
80,poly,100.0,10.0,2,150,"[43, 18, 4, 30]"
81,poly,100.0,10.0,3,50,"[44, 17, 9, 25]"
82,poly,100.0,10.0,3,100,"[45, 16, 10, 24]"
83,poly,100.0,10.0,3,150,"[45, 16, 10, 24]"
84,linear,1000.0,,,50,"[45, 16, 8, 26]"
85,linear,1000.0,,,100,"[45, 16, 8, 26]"
86,linear,1000.0,,,150,"[45, 16, 8, 26]"
