,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[46, 15, 14, 20]"
1,linear,0.1,,,100,"[44, 17, 16, 18]"
2,linear,0.1,,,150,"[44, 17, 14, 20]"
3,rbf,0.1,1,,50,"[47, 14, 17, 17]"
4,rbf,0.1,1,,100,"[47, 14, 17, 17]"
5,rbf,0.1,1,,150,"[47, 14, 17, 17]"
6,poly,0.1,1,2,50,"[45, 16, 14, 20]"
7,poly,0.1,1,2,100,"[45, 16, 14, 20]"
8,poly,0.1,1,2,150,"[45, 16, 14, 20]"
9,poly,0.1,1,3,50,"[46, 15, 16, 18]"
10,poly,0.1,1,3,100,"[45, 16, 17, 17]"
11,poly,0.1,1,3,150,"[45, 16, 17, 17]"
12,rbf,0.1,10.0,,50,"[51, 10, 21, 13]"
13,rbf,0.1,10.0,,100,"[51, 10, 21, 13]"
14,rbf,0.1,10.0,,150,"[51, 10, 21, 13]"
15,poly,0.1,10.0,2,50,"[46, 15, 14, 20]"
16,poly,0.1,10.0,2,100,"[46, 15, 16, 18]"
17,poly,0.1,10.0,2,150,"[46, 15, 17, 17]"
18,poly,0.1,10.0,3,50,"[45, 16, 17, 17]"
19,poly,0.1,10.0,3,100,"[45, 16, 17, 17]"
20,poly,0.1,10.0,3,150,"[45, 16, 17, 17]"
21,linear,1.0,,,50,"[46, 15, 14, 20]"
22,linear,1.0,,,100,"[44, 17, 14, 20]"
23,linear,1.0,,,150,"[44, 17, 14, 20]"
24,rbf,1.0,1,,50,"[45, 16, 17, 17]"
25,rbf,1.0,1,,100,"[45, 16, 17, 17]"
26,rbf,1.0,1,,150,"[45, 16, 17, 17]"
27,poly,1.0,1,2,50,"[46, 15, 14, 20]"
28,poly,1.0,1,2,100,"[46, 15, 14, 20]"
29,poly,1.0,1,2,150,"[46, 15, 14, 20]"
30,poly,1.0,1,3,50,"[45, 16, 17, 17]"
31,poly,1.0,1,3,100,"[45, 16, 16, 18]"
32,poly,1.0,1,3,150,"[45, 16, 16, 18]"
33,rbf,1.0,10.0,,50,"[46, 15, 17, 17]"
34,rbf,1.0,10.0,,100,"[46, 15, 17, 17]"
35,rbf,1.0,10.0,,150,"[46, 15, 17, 17]"
36,poly,1.0,10.0,2,50,"[45, 16, 16, 18]"
37,poly,1.0,10.0,2,100,"[45, 16, 16, 18]"
38,poly,1.0,10.0,2,150,"[45, 16, 16, 18]"
39,poly,1.0,10.0,3,50,"[45, 16, 17, 17]"
40,poly,1.0,10.0,3,100,"[45, 16, 17, 17]"
41,poly,1.0,10.0,3,150,"[45, 16, 17, 17]"
42,linear,10.0,,,50,"[46, 15, 14, 20]"
43,linear,10.0,,,100,"[44, 17, 14, 20]"
44,linear,10.0,,,150,"[44, 17, 14, 20]"
45,rbf,10.0,1,,50,"[45, 16, 17, 17]"
46,rbf,10.0,1,,100,"[45, 16, 17, 17]"
47,rbf,10.0,1,,150,"[45, 16, 17, 17]"
48,poly,10.0,1,2,50,"[46, 15, 14, 20]"
49,poly,10.0,1,2,100,"[46, 15, 16, 18]"
50,poly,10.0,1,2,150,"[46, 15, 17, 17]"
51,poly,10.0,1,3,50,"[45, 16, 17, 17]"
52,poly,10.0,1,3,100,"[45, 16, 17, 17]"
53,poly,10.0,1,3,150,"[45, 16, 17, 17]"
54,rbf,10.0,10.0,,50,"[46, 15, 17, 17]"
55,rbf,10.0,10.0,,100,"[46, 15, 17, 17]"
56,rbf,10.0,10.0,,150,"[46, 15, 17, 17]"
57,poly,10.0,10.0,2,50,"[45, 16, 13, 21]"
58,poly,10.0,10.0,2,100,"[45, 16, 13, 21]"
59,poly,10.0,10.0,2,150,"[45, 16, 14, 20]"
60,poly,10.0,10.0,3,50,"[45, 16, 17, 17]"
61,poly,10.0,10.0,3,100,"[45, 16, 17, 17]"
62,poly,10.0,10.0,3,150,"[45, 16, 17, 17]"
63,linear,100.0,,,50,"[44, 17, 14, 20]"
64,linear,100.0,,,100,"[44, 17, 14, 20]"
