,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[44, 18, 8, 26]"
1,300,10,"[41, 21, 8, 26]"
2,300,15,"[41, 21, 8, 26]"
3,500,5,"[44, 18, 8, 26]"
4,500,10,"[41, 21, 8, 26]"
5,500,15,"[41, 21, 8, 26]"
