,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[42, 20, 8, 26]","[45, 16, 8, 27]","[45, 16, 8, 27]","[49, 12, 12, 23]","[42, 19, 5, 29]","[42, 19, 7, 27]","[37, 24, 4, 30]","[36, 25, 7, 27]","[37, 24, 8, 26]","[39, 22, 6, 28]"
1,0,"[47, 15, 8, 26]","[45, 16, 10, 25]","[50, 11, 6, 29]","[49, 12, 13, 22]","[48, 13, 4, 30]","[44, 17, 7, 27]","[46, 15, 8, 26]","[43, 18, 7, 27]","[44, 17, 11, 23]","[41, 20, 7, 27]"
