,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[53, 8, 26, 8]"
1,0.0001,0.1,"[30, 31, 3, 31]"
2,0.0001,0.2,"[28, 33, 0, 34]"
3,0.001,0.0,"[45, 16, 8, 26]"
4,0.001,0.1,"[47, 14, 10, 24]"
5,0.001,0.2,"[47, 14, 10, 24]"
