,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[17, 45, 1, 33]","[40, 21, 14, 21]","[34, 27, 6, 29]","[27, 34, 1, 34]","[44, 17, 12, 22]","[41, 20, 4, 30]","[16, 45, 2, 32]","[38, 23, 7, 27]","[13, 48, 2, 32]","[34, 27, 8, 26]"
1,0,"[44, 18, 6, 28]","[51, 10, 12, 23]","[42, 19, 9, 26]","[51, 10, 3, 32]","[48, 13, 15, 19]","[46, 15, 6, 28]","[43, 18, 9, 25]","[44, 17, 7, 27]","[39, 22, 4, 30]","[45, 16, 11, 23]"
