,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[32, 30, 17, 17]","[32, 29, 18, 17]","[40, 21, 19, 16]","[38, 23, 12, 23]","[38, 23, 5, 29]","[38, 23, 9, 25]","[42, 19, 16, 18]","[30, 31, 10, 24]","[41, 20, 8, 26]","[36, 25, 11, 23]"
1,0,"[53, 9, 26, 8]","[45, 16, 25, 10]","[57, 4, 29, 6]","[54, 7, 22, 13]","[55, 6, 23, 11]","[54, 7, 27, 7]","[58, 3, 27, 7]","[58, 3, 27, 7]","[55, 6, 28, 6]","[50, 11, 25, 9]"
