,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
0,linear,0.1,,,50,0.5,"[45, 17, 11, 23]"
1,linear,0.1,,,50,0.75,"[41, 21, 6, 28]"
2,linear,0.1,,,50,1.0,"[42, 20, 11, 23]"
3,linear,0.1,,,100,0.5,"[45, 17, 11, 23]"
4,linear,0.1,,,100,0.75,"[41, 21, 6, 28]"
5,linear,0.1,,,100,1.0,"[42, 20, 11, 23]"
6,linear,0.1,,,150,0.5,"[45, 17, 11, 23]"
7,linear,0.1,,,150,0.75,"[41, 21, 6, 28]"
8,linear,0.1,,,150,1.0,"[42, 20, 11, 23]"
9,rbf,0.1,1,,50,0.5,"[62, 0, 34, 0]"
10,rbf,0.1,1,,50,0.75,"[62, 0, 34, 0]"
11,rbf,0.1,1,,50,1.0,"[62, 0, 34, 0]"
12,rbf,0.1,1,,100,0.5,"[62, 0, 34, 0]"
13,rbf,0.1,1,,100,0.75,"[62, 0, 34, 0]"
14,rbf,0.1,1,,100,1.0,"[62, 0, 34, 0]"
15,rbf,0.1,1,,150,0.5,"[62, 0, 34, 0]"
16,rbf,0.1,1,,150,0.75,"[62, 0, 34, 0]"
17,rbf,0.1,1,,150,1.0,"[62, 0, 34, 0]"
18,poly,0.1,1,2,50,0.5,"[62, 0, 34, 0]"
19,poly,0.1,1,2,50,0.75,"[62, 0, 34, 0]"
20,poly,0.1,1,2,50,1.0,"[62, 0, 34, 0]"
21,poly,0.1,1,2,100,0.5,"[62, 0, 34, 0]"
22,poly,0.1,1,2,100,0.75,"[62, 0, 34, 0]"
23,poly,0.1,1,2,100,1.0,"[62, 0, 34, 0]"
24,poly,0.1,1,2,150,0.5,"[62, 0, 34, 0]"
25,poly,0.1,1,2,150,0.75,"[62, 0, 34, 0]"
26,poly,0.1,1,2,150,1.0,"[62, 0, 34, 0]"
27,poly,0.1,1,3,50,0.5,"[62, 0, 34, 0]"
28,poly,0.1,1,3,50,0.75,"[62, 0, 34, 0]"
29,poly,0.1,1,3,50,1.0,"[62, 0, 34, 0]"
30,poly,0.1,1,3,100,0.5,"[62, 0, 34, 0]"
31,poly,0.1,1,3,100,0.75,"[62, 0, 34, 0]"
32,poly,0.1,1,3,100,1.0,"[62, 0, 34, 0]"
33,poly,0.1,1,3,150,0.5,"[62, 0, 34, 0]"
34,poly,0.1,1,3,150,0.75,"[62, 0, 34, 0]"
35,poly,0.1,1,3,150,1.0,"[62, 0, 34, 0]"
36,rbf,0.1,10.0,,50,0.5,"[62, 0, 34, 0]"
37,rbf,0.1,10.0,,50,0.75,"[62, 0, 34, 0]"
38,rbf,0.1,10.0,,50,1.0,"[62, 0, 34, 0]"
39,rbf,0.1,10.0,,100,0.5,"[62, 0, 34, 0]"
40,rbf,0.1,10.0,,100,0.75,"[62, 0, 34, 0]"
41,rbf,0.1,10.0,,100,1.0,"[62, 0, 34, 0]"
42,rbf,0.1,10.0,,150,0.5,"[62, 0, 34, 0]"
43,rbf,0.1,10.0,,150,0.75,"[62, 0, 34, 0]"
44,rbf,0.1,10.0,,150,1.0,"[62, 0, 34, 0]"
45,poly,0.1,10.0,2,50,0.5,"[44, 18, 11, 23]"
46,poly,0.1,10.0,2,50,0.75,"[43, 19, 7, 27]"
47,poly,0.1,10.0,2,50,1.0,"[43, 19, 6, 28]"
48,poly,0.1,10.0,2,100,0.5,"[44, 18, 11, 23]"
49,poly,0.1,10.0,2,100,0.75,"[43, 19, 7, 27]"
50,poly,0.1,10.0,2,100,1.0,"[43, 19, 6, 28]"
51,poly,0.1,10.0,2,150,0.5,"[44, 18, 11, 23]"
52,poly,0.1,10.0,2,150,0.75,"[43, 19, 7, 27]"
53,poly,0.1,10.0,2,150,1.0,"[43, 19, 6, 28]"
54,poly,0.1,10.0,3,50,0.5,"[42, 20, 7, 27]"
55,poly,0.1,10.0,3,50,0.75,"[42, 20, 6, 28]"
56,poly,0.1,10.0,3,50,1.0,"[41, 21, 7, 27]"
57,poly,0.1,10.0,3,100,0.5,"[42, 20, 6, 28]"
58,poly,0.1,10.0,3,100,0.75,"[42, 20, 6, 28]"
59,poly,0.1,10.0,3,100,1.0,"[42, 20, 7, 27]"
60,poly,0.1,10.0,3,150,0.5,"[42, 20, 6, 28]"
61,poly,0.1,10.0,3,150,0.75,"[42, 20, 6, 28]"
62,poly,0.1,10.0,3,150,1.0,"[42, 20, 7, 27]"
63,linear,1.0,,,50,0.5,"[43, 19, 11, 23]"
64,linear,1.0,,,50,0.75,"[42, 20, 11, 23]"
65,linear,1.0,,,50,1.0,"[45, 17, 11, 23]"
66,linear,1.0,,,100,0.5,"[43, 19, 11, 23]"
67,linear,1.0,,,100,0.75,"[42, 20, 11, 23]"
68,linear,1.0,,,100,1.0,"[45, 17, 11, 23]"
69,linear,1.0,,,150,0.5,"[43, 19, 11, 23]"
70,linear,1.0,,,150,0.75,"[42, 20, 11, 23]"
71,linear,1.0,,,150,1.0,"[45, 17, 11, 23]"
72,rbf,1.0,1,,50,0.5,"[62, 0, 34, 0]"
73,rbf,1.0,1,,50,0.75,"[62, 0, 34, 0]"
74,rbf,1.0,1,,50,1.0,"[62, 0, 34, 0]"
75,rbf,1.0,1,,100,0.5,"[62, 0, 34, 0]"
76,rbf,1.0,1,,100,0.75,"[62, 0, 34, 0]"
77,rbf,1.0,1,,100,1.0,"[62, 0, 34, 0]"
78,rbf,1.0,1,,150,0.5,"[62, 0, 34, 0]"
79,rbf,1.0,1,,150,0.75,"[62, 0, 34, 0]"
80,rbf,1.0,1,,150,1.0,"[62, 0, 34, 0]"
81,poly,1.0,1,2,50,0.5,"[62, 0, 34, 0]"
82,poly,1.0,1,2,50,0.75,"[59, 3, 32, 2]"
83,poly,1.0,1,2,50,1.0,"[42, 20, 6, 28]"
84,poly,1.0,1,2,100,0.5,"[62, 0, 34, 0]"
85,poly,1.0,1,2,100,0.75,"[59, 3, 32, 2]"
86,poly,1.0,1,2,100,1.0,"[42, 20, 6, 28]"
87,poly,1.0,1,2,150,0.5,"[62, 0, 34, 0]"
88,poly,1.0,1,2,150,0.75,"[59, 3, 32, 2]"
89,poly,1.0,1,2,150,1.0,"[42, 20, 6, 28]"
90,poly,1.0,1,3,50,0.5,"[59, 3, 32, 2]"
91,poly,1.0,1,3,50,0.75,"[36, 26, 5, 29]"
92,poly,1.0,1,3,50,1.0,"[59, 3, 32, 2]"
93,poly,1.0,1,3,100,0.5,"[59, 3, 32, 2]"
94,poly,1.0,1,3,100,0.75,"[36, 26, 5, 29]"
95,poly,1.0,1,3,100,1.0,"[59, 3, 32, 2]"
96,poly,1.0,1,3,150,0.5,"[59, 3, 32, 2]"
97,poly,1.0,1,3,150,0.75,"[36, 26, 5, 29]"
98,poly,1.0,1,3,150,1.0,"[59, 3, 32, 2]"
99,rbf,1.0,10.0,,50,0.5,"[62, 0, 34, 0]"
100,rbf,1.0,10.0,,50,0.75,"[62, 0, 34, 0]"
101,rbf,1.0,10.0,,50,1.0,"[62, 0, 34, 0]"
102,rbf,1.0,10.0,,100,0.5,"[62, 0, 34, 0]"
103,rbf,1.0,10.0,,100,0.75,"[62, 0, 34, 0]"
104,rbf,1.0,10.0,,100,1.0,"[62, 0, 34, 0]"
105,rbf,1.0,10.0,,150,0.5,"[62, 0, 34, 0]"
106,rbf,1.0,10.0,,150,0.75,"[62, 0, 34, 0]"
107,rbf,1.0,10.0,,150,1.0,"[62, 0, 34, 0]"
108,poly,1.0,10.0,2,50,0.5,"[42, 20, 11, 23]"
109,poly,1.0,10.0,2,50,0.75,"[44, 18, 11, 23]"
110,poly,1.0,10.0,2,50,1.0,"[43, 19, 7, 27]"
111,poly,1.0,10.0,2,100,0.5,"[43, 19, 7, 27]"
112,poly,1.0,10.0,2,100,0.75,"[44, 18, 11, 23]"
113,poly,1.0,10.0,2,100,1.0,"[44, 18, 7, 27]"
114,poly,1.0,10.0,2,150,0.5,"[43, 19, 7, 27]"
115,poly,1.0,10.0,2,150,0.75,"[44, 18, 11, 23]"
116,poly,1.0,10.0,2,150,1.0,"[44, 18, 7, 27]"
117,poly,1.0,10.0,3,50,0.5,"[41, 21, 7, 27]"
118,poly,1.0,10.0,3,50,0.75,"[43, 19, 7, 27]"
119,poly,1.0,10.0,3,50,1.0,"[41, 21, 7, 27]"
120,poly,1.0,10.0,3,100,0.5,"[41, 21, 7, 27]"
121,poly,1.0,10.0,3,100,0.75,"[43, 19, 7, 27]"
122,poly,1.0,10.0,3,100,1.0,"[41, 21, 7, 27]"
123,poly,1.0,10.0,3,150,0.5,"[41, 21, 7, 27]"
124,poly,1.0,10.0,3,150,0.75,"[43, 19, 7, 27]"
125,poly,1.0,10.0,3,150,1.0,"[42, 20, 7, 27]"
126,linear,10.0,,,50,0.5,"[44, 18, 11, 23]"
127,linear,10.0,,,50,0.75,"[43, 19, 11, 23]"
128,linear,10.0,,,50,1.0,"[43, 19, 11, 23]"
129,linear,10.0,,,100,0.5,"[44, 18, 11, 23]"
130,linear,10.0,,,100,0.75,"[43, 19, 11, 23]"
131,linear,10.0,,,100,1.0,"[43, 19, 11, 23]"
132,linear,10.0,,,150,0.5,"[44, 18, 11, 23]"
133,linear,10.0,,,150,0.75,"[43, 19, 11, 23]"
134,linear,10.0,,,150,1.0,"[43, 19, 11, 23]"
135,rbf,10.0,1,,50,0.5,"[48, 14, 13, 21]"
136,rbf,10.0,1,,50,0.75,"[45, 17, 11, 23]"
137,rbf,10.0,1,,50,1.0,"[34, 28, 6, 28]"
138,rbf,10.0,1,,100,0.5,"[48, 14, 13, 21]"
139,rbf,10.0,1,,100,0.75,"[45, 17, 11, 23]"
140,rbf,10.0,1,,100,1.0,"[34, 28, 6, 28]"
141,rbf,10.0,1,,150,0.5,"[48, 14, 13, 21]"
142,rbf,10.0,1,,150,0.75,"[45, 17, 11, 23]"
143,rbf,10.0,1,,150,1.0,"[34, 28, 6, 28]"
144,poly,10.0,1,2,50,0.5,"[44, 18, 11, 23]"
145,poly,10.0,1,2,50,0.75,"[43, 19, 7, 27]"
146,poly,10.0,1,2,50,1.0,"[43, 19, 6, 28]"
147,poly,10.0,1,2,100,0.5,"[44, 18, 11, 23]"
148,poly,10.0,1,2,100,0.75,"[43, 19, 7, 27]"
149,poly,10.0,1,2,100,1.0,"[43, 19, 6, 28]"
150,poly,10.0,1,2,150,0.5,"[44, 18, 11, 23]"
151,poly,10.0,1,2,150,0.75,"[43, 19, 7, 27]"
152,poly,10.0,1,2,150,1.0,"[43, 19, 6, 28]"
153,poly,10.0,1,3,50,0.5,"[41, 21, 6, 28]"
154,poly,10.0,1,3,50,0.75,"[41, 21, 6, 28]"
155,poly,10.0,1,3,50,1.0,"[41, 21, 7, 27]"
156,poly,10.0,1,3,100,0.5,"[41, 21, 6, 28]"
157,poly,10.0,1,3,100,0.75,"[42, 20, 11, 23]"
158,poly,10.0,1,3,100,1.0,"[41, 21, 7, 27]"
159,poly,10.0,1,3,150,0.5,"[41, 21, 6, 28]"
160,poly,10.0,1,3,150,0.75,"[42, 20, 11, 23]"
161,poly,10.0,1,3,150,1.0,"[41, 21, 7, 27]"
162,rbf,10.0,10.0,,50,0.5,"[48, 14, 13, 21]"
163,rbf,10.0,10.0,,50,0.75,"[45, 17, 11, 23]"
164,rbf,10.0,10.0,,50,1.0,"[44, 18, 7, 27]"
165,rbf,10.0,10.0,,100,0.5,"[48, 14, 13, 21]"
166,rbf,10.0,10.0,,100,0.75,"[45, 17, 11, 23]"
167,rbf,10.0,10.0,,100,1.0,"[44, 18, 7, 27]"
168,rbf,10.0,10.0,,150,0.5,"[48, 14, 13, 21]"
169,rbf,10.0,10.0,,150,0.75,"[45, 17, 11, 23]"
170,rbf,10.0,10.0,,150,1.0,"[44, 18, 7, 27]"
171,poly,10.0,10.0,2,50,0.5,"[42, 20, 7, 27]"
172,poly,10.0,10.0,2,50,0.75,"[42, 20, 7, 27]"
173,poly,10.0,10.0,2,50,1.0,"[42, 20, 6, 28]"
174,poly,10.0,10.0,2,100,0.5,"[42, 20, 7, 27]"
175,poly,10.0,10.0,2,100,0.75,"[42, 20, 7, 27]"
176,poly,10.0,10.0,2,100,1.0,"[42, 20, 6, 28]"
177,poly,10.0,10.0,2,150,0.5,"[42, 20, 6, 28]"
178,poly,10.0,10.0,2,150,0.75,"[42, 20, 7, 27]"
179,poly,10.0,10.0,2,150,1.0,"[42, 20, 6, 28]"
180,poly,10.0,10.0,3,50,0.5,"[42, 20, 6, 28]"
181,poly,10.0,10.0,3,50,0.75,"[41, 21, 6, 28]"
182,poly,10.0,10.0,3,50,1.0,"[41, 21, 7, 27]"
183,poly,10.0,10.0,3,100,0.5,"[42, 20, 6, 28]"
184,poly,10.0,10.0,3,100,0.75,"[41, 21, 6, 28]"
185,poly,10.0,10.0,3,100,1.0,"[41, 21, 7, 27]"
186,poly,10.0,10.0,3,150,0.5,"[41, 21, 7, 27]"
187,poly,10.0,10.0,3,150,0.75,"[41, 21, 6, 28]"
188,poly,10.0,10.0,3,150,1.0,"[41, 21, 7, 27]"
189,linear,100.0,,,50,0.5,"[45, 17, 11, 23]"
190,linear,100.0,,,50,0.75,"[44, 18, 11, 23]"
191,linear,100.0,,,50,1.0,"[44, 18, 11, 23]"
192,linear,100.0,,,100,0.5,"[45, 17, 11, 23]"
193,linear,100.0,,,100,0.75,"[44, 18, 11, 23]"
194,linear,100.0,,,100,1.0,"[44, 18, 11, 23]"
195,linear,100.0,,,150,0.5,"[45, 17, 11, 23]"
196,linear,100.0,,,150,0.75,"[44, 18, 11, 23]"
197,linear,100.0,,,150,1.0,"[44, 18, 11, 23]"
198,rbf,100.0,1,,50,0.5,"[44, 18, 7, 27]"
199,rbf,100.0,1,,50,0.75,"[45, 17, 11, 23]"
200,rbf,100.0,1,,50,1.0,"[44, 18, 7, 27]"
201,rbf,100.0,1,,100,0.5,"[44, 18, 7, 27]"
202,rbf,100.0,1,,100,0.75,"[45, 17, 11, 23]"
203,rbf,100.0,1,,100,1.0,"[44, 18, 7, 27]"
204,rbf,100.0,1,,150,0.5,"[44, 18, 7, 27]"
205,rbf,100.0,1,,150,0.75,"[45, 17, 11, 23]"
206,rbf,100.0,1,,150,1.0,"[44, 18, 7, 27]"
207,poly,100.0,1,2,50,0.5,"[42, 20, 11, 23]"
208,poly,100.0,1,2,50,0.75,"[44, 18, 11, 23]"
209,poly,100.0,1,2,50,1.0,"[43, 19, 7, 27]"
210,poly,100.0,1,2,100,0.5,"[43, 19, 7, 27]"
211,poly,100.0,1,2,100,0.75,"[44, 18, 11, 23]"
212,poly,100.0,1,2,100,1.0,"[44, 18, 7, 27]"
213,poly,100.0,1,2,150,0.5,"[43, 19, 7, 27]"
214,poly,100.0,1,2,150,0.75,"[44, 18, 11, 23]"
215,poly,100.0,1,2,150,1.0,"[44, 18, 7, 27]"
216,poly,100.0,1,3,50,0.5,"[42, 20, 7, 27]"
217,poly,100.0,1,3,50,0.75,"[42, 20, 6, 28]"
218,poly,100.0,1,3,50,1.0,"[41, 21, 7, 27]"
219,poly,100.0,1,3,100,0.5,"[42, 20, 6, 28]"
220,poly,100.0,1,3,100,0.75,"[42, 20, 6, 28]"
221,poly,100.0,1,3,100,1.0,"[42, 20, 7, 27]"
222,poly,100.0,1,3,150,0.5,"[42, 20, 6, 28]"
223,poly,100.0,1,3,150,0.75,"[42, 20, 6, 28]"
224,poly,100.0,1,3,150,1.0,"[42, 20, 7, 27]"
225,rbf,100.0,10.0,,50,0.5,"[44, 18, 7, 27]"
226,rbf,100.0,10.0,,50,0.75,"[44, 18, 7, 27]"
227,rbf,100.0,10.0,,50,1.0,"[44, 18, 7, 27]"
228,rbf,100.0,10.0,,100,0.5,"[44, 18, 7, 27]"
229,rbf,100.0,10.0,,100,0.75,"[44, 18, 7, 27]"
230,rbf,100.0,10.0,,100,1.0,"[44, 18, 7, 27]"
231,rbf,100.0,10.0,,150,0.5,"[44, 18, 7, 27]"
232,rbf,100.0,10.0,,150,0.75,"[44, 18, 7, 27]"
233,rbf,100.0,10.0,,150,1.0,"[44, 18, 7, 27]"
234,poly,100.0,10.0,2,50,0.5,"[42, 20, 6, 28]"
235,poly,100.0,10.0,2,50,0.75,"[42, 20, 6, 28]"
236,poly,100.0,10.0,2,50,1.0,"[42, 20, 6, 28]"
237,poly,100.0,10.0,2,100,0.5,"[42, 20, 6, 28]"
238,poly,100.0,10.0,2,100,0.75,"[42, 20, 6, 28]"
239,poly,100.0,10.0,2,100,1.0,"[42, 20, 6, 28]"
240,poly,100.0,10.0,2,150,0.5,"[42, 20, 6, 28]"
241,poly,100.0,10.0,2,150,0.75,"[42, 20, 6, 28]"
242,poly,100.0,10.0,2,150,1.0,"[42, 20, 6, 28]"
243,poly,100.0,10.0,3,50,0.5,"[41, 21, 7, 27]"
244,poly,100.0,10.0,3,50,0.75,"[42, 20, 6, 28]"
245,poly,100.0,10.0,3,50,1.0,"[42, 20, 7, 27]"
246,poly,100.0,10.0,3,100,0.5,"[41, 21, 7, 27]"
247,poly,100.0,10.0,3,100,0.75,"[42, 20, 6, 28]"
248,poly,100.0,10.0,3,100,1.0,"[41, 21, 7, 27]"
249,poly,100.0,10.0,3,150,0.5,"[41, 21, 7, 27]"
250,poly,100.0,10.0,3,150,0.75,"[42, 20, 6, 28]"
251,poly,100.0,10.0,3,150,1.0,"[41, 21, 7, 27]"
252,linear,1000.0,,,50,0.5,"[45, 17, 11, 23]"
253,linear,1000.0,,,50,0.75,"[44, 18, 11, 23]"
254,linear,1000.0,,,50,1.0,"[44, 18, 11, 23]"
255,linear,1000.0,,,100,0.5,"[45, 17, 11, 23]"
256,linear,1000.0,,,100,0.75,"[44, 18, 11, 23]"
257,linear,1000.0,,,100,1.0,"[44, 18, 11, 23]"
258,linear,1000.0,,,150,0.5,"[45, 17, 11, 23]"
259,linear,1000.0,,,150,0.75,"[44, 18, 11, 23]"
260,linear,1000.0,,,150,1.0,"[44, 18, 11, 23]"
261,rbf,1000.0,1,,50,0.5,"[43, 19, 7, 27]"
262,rbf,1000.0,1,,50,0.75,"[43, 19, 7, 27]"
263,rbf,1000.0,1,,50,1.0,"[43, 19, 7, 27]"
264,rbf,1000.0,1,,100,0.5,"[43, 19, 7, 27]"
265,rbf,1000.0,1,,100,0.75,"[43, 19, 7, 27]"
266,rbf,1000.0,1,,100,1.0,"[43, 19, 7, 27]"
267,rbf,1000.0,1,,150,0.5,"[43, 19, 7, 27]"
268,rbf,1000.0,1,,150,0.75,"[43, 19, 7, 27]"
269,rbf,1000.0,1,,150,1.0,"[43, 19, 7, 27]"
270,poly,1000.0,1,2,50,0.5,"[42, 20, 7, 27]"
271,poly,1000.0,1,2,50,0.75,"[42, 20, 7, 27]"
272,poly,1000.0,1,2,50,1.0,"[42, 20, 6, 28]"
273,poly,1000.0,1,2,100,0.5,"[42, 20, 7, 27]"
274,poly,1000.0,1,2,100,0.75,"[42, 20, 7, 27]"
275,poly,1000.0,1,2,100,1.0,"[42, 20, 6, 28]"
276,poly,1000.0,1,2,150,0.5,"[42, 20, 6, 28]"
277,poly,1000.0,1,2,150,0.75,"[42, 20, 7, 27]"
278,poly,1000.0,1,2,150,1.0,"[42, 20, 6, 28]"
279,poly,1000.0,1,3,50,0.5,"[41, 21, 7, 27]"
280,poly,1000.0,1,3,50,0.75,"[43, 19, 7, 27]"
281,poly,1000.0,1,3,50,1.0,"[41, 21, 7, 27]"
282,poly,1000.0,1,3,100,0.5,"[41, 21, 7, 27]"
283,poly,1000.0,1,3,100,0.75,"[43, 19, 7, 27]"
284,poly,1000.0,1,3,100,1.0,"[41, 21, 7, 27]"
285,poly,1000.0,1,3,150,0.5,"[41, 21, 7, 27]"
286,poly,1000.0,1,3,150,0.75,"[43, 19, 7, 27]"
287,poly,1000.0,1,3,150,1.0,"[42, 20, 7, 27]"
288,rbf,1000.0,10.0,,50,0.5,"[43, 19, 7, 27]"
289,rbf,1000.0,10.0,,50,0.75,"[43, 19, 7, 27]"
290,rbf,1000.0,10.0,,50,1.0,"[43, 19, 7, 27]"
291,rbf,1000.0,10.0,,100,0.5,"[43, 19, 7, 27]"
292,rbf,1000.0,10.0,,100,0.75,"[43, 19, 7, 27]"
293,rbf,1000.0,10.0,,100,1.0,"[43, 19, 7, 27]"
294,rbf,1000.0,10.0,,150,0.5,"[43, 19, 7, 27]"
295,rbf,1000.0,10.0,,150,0.75,"[43, 19, 7, 27]"
296,rbf,1000.0,10.0,,150,1.0,"[43, 19, 7, 27]"
297,poly,1000.0,10.0,2,50,0.5,"[42, 20, 6, 28]"
298,poly,1000.0,10.0,2,50,0.75,"[42, 20, 6, 28]"
299,poly,1000.0,10.0,2,50,1.0,"[42, 20, 6, 28]"
300,poly,1000.0,10.0,2,100,0.5,"[42, 20, 6, 28]"
301,poly,1000.0,10.0,2,100,0.75,"[42, 20, 6, 28]"
302,poly,1000.0,10.0,2,100,1.0,"[42, 20, 6, 28]"
303,poly,1000.0,10.0,2,150,0.5,"[42, 20, 6, 28]"
304,poly,1000.0,10.0,2,150,0.75,"[42, 20, 6, 28]"
305,poly,1000.0,10.0,2,150,1.0,"[42, 20, 6, 28]"
306,poly,1000.0,10.0,3,50,0.5,"[41, 21, 7, 27]"
307,poly,1000.0,10.0,3,50,0.75,"[41, 21, 7, 27]"
308,poly,1000.0,10.0,3,50,1.0,"[41, 21, 6, 28]"
309,poly,1000.0,10.0,3,100,0.5,"[41, 21, 7, 27]"
310,poly,1000.0,10.0,3,100,0.75,"[41, 21, 7, 27]"
311,poly,1000.0,10.0,3,100,1.0,"[41, 21, 6, 28]"
312,poly,1000.0,10.0,3,150,0.5,"[41, 21, 7, 27]"
313,poly,1000.0,10.0,3,150,0.75,"[41, 21, 7, 27]"
314,poly,1000.0,10.0,3,150,1.0,"[42, 20, 6, 28]"
