,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[56, 6, 30, 4]","[55, 6, 29, 6]","[55, 6, 26, 9]","[54, 7, 29, 6]","[55, 6, 26, 8]","[53, 8, 25, 9]","[58, 3, 26, 8]","[54, 7, 22, 12]","[58, 3, 27, 7]","[54, 7, 33, 1]"
1,0.001,"[57, 5, 30, 4]","[56, 5, 29, 6]","[55, 6, 26, 9]","[54, 7, 29, 6]","[55, 6, 27, 7]","[53, 8, 25, 9]","[58, 3, 26, 8]","[54, 7, 25, 9]","[58, 3, 27, 7]","[54, 7, 33, 1]"
2,0.01,"[58, 4, 30, 4]","[59, 2, 31, 4]","[58, 3, 30, 5]","[55, 6, 30, 5]","[58, 3, 30, 4]","[56, 5, 27, 7]","[59, 2, 32, 2]","[56, 5, 27, 7]","[59, 2, 29, 5]","[57, 4, 34, 0]"
