,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[34, 28, 5, 29]","[35, 26, 8, 27]","[40, 21, 8, 27]","[40, 21, 4, 31]","[39, 22, 7, 27]","[45, 16, 9, 25]","[36, 25, 5, 29]","[38, 23, 9, 25]","[35, 26, 6, 28]","[41, 20, 7, 27]"
1,0,"[47, 15, 7, 27]","[48, 13, 10, 25]","[41, 20, 7, 28]","[53, 8, 5, 30]","[42, 19, 6, 28]","[47, 14, 10, 24]","[44, 17, 6, 28]","[51, 10, 11, 23]","[39, 22, 9, 25]","[44, 17, 9, 25]"
