,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,50,"[44, 18, 8, 26]","[53, 8, 11, 24]","[46, 15, 12, 23]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 9, 25]","[43, 18, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
1,linear,0.1,,,100,"[45, 17, 9, 25]","[53, 8, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
2,linear,0.1,,,150,"[45, 17, 9, 25]","[53, 8, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[45, 16, 12, 22]"
3,rbf,0.1,1.0,,50,"[45, 17, 13, 21]","[54, 7, 16, 19]","[47, 14, 17, 18]","[51, 10, 6, 29]","[51, 10, 19, 15]","[53, 8, 14, 20]","[48, 13, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]","[52, 9, 20, 14]"
4,rbf,0.1,1.0,,100,"[45, 17, 13, 21]","[54, 7, 16, 19]","[47, 14, 17, 18]","[51, 10, 6, 29]","[52, 9, 20, 14]","[53, 8, 14, 20]","[48, 13, 10, 24]","[47, 14, 13, 21]","[42, 19, 8, 26]","[52, 9, 19, 15]"
5,rbf,0.1,1.0,,150,"[45, 17, 13, 21]","[54, 7, 16, 19]","[47, 14, 17, 18]","[51, 10, 6, 29]","[52, 9, 20, 14]","[53, 8, 14, 20]","[48, 13, 10, 24]","[47, 14, 13, 21]","[42, 19, 8, 26]","[52, 9, 20, 14]"
6,poly,0.1,1.0,2.0,50,"[43, 19, 8, 26]","[51, 10, 12, 23]","[44, 17, 8, 27]","[50, 11, 4, 31]","[50, 11, 15, 19]","[48, 13, 8, 26]","[43, 18, 9, 25]","[47, 14, 9, 25]","[40, 21, 4, 30]","[49, 12, 11, 23]"
7,poly,0.1,1.0,2.0,100,"[43, 19, 8, 26]","[51, 10, 12, 23]","[44, 17, 8, 27]","[50, 11, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[43, 18, 9, 25]","[47, 14, 9, 25]","[40, 21, 4, 30]","[49, 12, 11, 23]"
8,poly,0.1,1.0,2.0,150,"[43, 19, 8, 26]","[51, 10, 12, 23]","[44, 17, 8, 27]","[50, 11, 4, 31]","[49, 12, 15, 19]","[47, 14, 8, 26]","[43, 18, 9, 25]","[47, 14, 9, 25]","[40, 21, 4, 30]","[49, 12, 11, 23]"
9,poly,0.1,1.0,3.0,50,"[43, 19, 8, 26]","[52, 9, 13, 22]","[42, 19, 9, 26]","[49, 12, 4, 31]","[48, 13, 15, 19]","[44, 17, 8, 26]","[45, 16, 9, 25]","[46, 15, 9, 25]","[40, 21, 4, 30]","[49, 12, 11, 23]"
10,poly,0.1,1.0,3.0,100,"[44, 18, 8, 26]","[51, 10, 13, 22]","[43, 18, 11, 24]","[49, 12, 4, 31]","[48, 13, 15, 19]","[47, 14, 8, 26]","[45, 16, 8, 26]","[46, 15, 8, 26]","[40, 21, 4, 30]","[49, 12, 11, 23]"
11,poly,0.1,1.0,3.0,150,"[43, 19, 8, 26]","[52, 9, 14, 21]","[43, 18, 11, 24]","[50, 11, 4, 31]","[48, 13, 15, 19]","[47, 14, 8, 26]","[45, 16, 8, 26]","[46, 15, 8, 26]","[40, 21, 4, 30]","[49, 12, 11, 23]"
12,rbf,0.1,10.0,,50,"[53, 9, 24, 10]","[56, 5, 21, 14]","[52, 9, 23, 12]","[57, 4, 15, 20]","[56, 5, 25, 9]","[56, 5, 21, 13]","[52, 9, 18, 16]","[54, 7, 20, 14]","[46, 15, 15, 19]","[56, 5, 23, 11]"
13,rbf,0.1,10.0,,100,"[53, 9, 24, 10]","[56, 5, 21, 14]","[52, 9, 23, 12]","[57, 4, 15, 20]","[56, 5, 25, 9]","[56, 5, 21, 13]","[52, 9, 18, 16]","[54, 7, 20, 14]","[46, 15, 15, 19]","[56, 5, 23, 11]"
14,rbf,0.1,10.0,,150,"[53, 9, 24, 10]","[56, 5, 21, 14]","[53, 8, 24, 11]","[56, 5, 13, 22]","[56, 5, 25, 9]","[56, 5, 21, 13]","[52, 9, 18, 16]","[54, 7, 20, 14]","[46, 15, 15, 19]","[55, 6, 22, 12]"
15,poly,0.1,10.0,2.0,50,"[44, 18, 9, 25]","[49, 12, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 4, 30]","[48, 13, 11, 23]"
16,poly,0.1,10.0,2.0,100,"[43, 19, 9, 25]","[49, 12, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 4, 30]","[49, 12, 12, 22]"
17,poly,0.1,10.0,2.0,150,"[43, 19, 9, 25]","[47, 14, 12, 23]","[43, 18, 9, 26]","[51, 10, 4, 31]","[48, 13, 15, 19]","[48, 13, 7, 27]","[44, 17, 9, 25]","[46, 15, 9, 25]","[38, 23, 6, 28]","[48, 13, 11, 23]"
18,poly,0.1,10.0,3.0,50,"[41, 21, 7, 27]","[51, 10, 12, 23]","[42, 19, 9, 26]","[49, 12, 10, 25]","[49, 12, 15, 19]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 11, 23]"
19,poly,0.1,10.0,3.0,100,"[41, 21, 7, 27]","[51, 10, 12, 23]","[43, 18, 9, 26]","[49, 12, 10, 25]","[49, 12, 16, 18]","[48, 13, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[48, 13, 9, 25]"
20,poly,0.1,10.0,3.0,150,"[40, 22, 7, 27]","[51, 10, 12, 23]","[43, 18, 9, 26]","[49, 12, 10, 25]","[49, 12, 16, 18]","[49, 12, 8, 26]","[44, 17, 14, 20]","[40, 21, 8, 26]","[39, 22, 7, 27]","[49, 12, 9, 25]"
21,linear,1.0,,,50,"[44, 18, 8, 26]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[43, 18, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
22,linear,1.0,,,100,"[45, 17, 9, 25]","[51, 10, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
23,linear,1.0,,,150,"[45, 17, 9, 25]","[53, 8, 11, 24]","[45, 16, 10, 25]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 10, 24]","[41, 20, 5, 29]","[46, 15, 12, 22]"
24,rbf,1.0,1.0,,50,"[43, 19, 8, 26]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 6, 29]","[49, 12, 15, 19]","[50, 11, 8, 26]","[46, 15, 11, 23]","[44, 17, 8, 26]","[40, 21, 5, 29]","[51, 10, 12, 22]"
25,rbf,1.0,1.0,,100,"[43, 19, 8, 26]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 6, 29]","[49, 12, 15, 19]","[50, 11, 8, 26]","[44, 17, 8, 26]","[46, 15, 8, 26]","[40, 21, 5, 29]","[50, 11, 11, 23]"
26,rbf,1.0,1.0,,150,"[43, 19, 8, 26]","[52, 9, 12, 23]","[44, 17, 9, 26]","[51, 10, 6, 29]","[49, 12, 15, 19]","[48, 13, 8, 26]","[44, 17, 8, 26]","[46, 15, 8, 26]","[40, 21, 7, 27]","[51, 10, 12, 22]"
27,poly,1.0,1.0,2.0,50,"[44, 18, 9, 25]","[49, 12, 13, 22]","[43, 18, 7, 28]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[42, 19, 9, 25]","[46, 15, 10, 24]","[38, 23, 4, 30]","[49, 12, 11, 23]"
28,poly,1.0,1.0,2.0,100,"[44, 18, 8, 26]","[49, 12, 13, 22]","[44, 17, 7, 28]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[42, 19, 9, 25]","[46, 15, 10, 24]","[38, 23, 4, 30]","[49, 12, 11, 23]"
29,poly,1.0,1.0,2.0,150,"[44, 18, 8, 26]","[50, 11, 13, 22]","[44, 17, 7, 28]","[51, 10, 4, 31]","[49, 12, 15, 19]","[48, 13, 7, 27]","[43, 18, 9, 25]","[46, 15, 10, 24]","[38, 23, 4, 30]","[49, 12, 11, 23]"
30,poly,1.0,1.0,3.0,50,"[42, 20, 8, 26]","[51, 10, 12, 23]","[43, 18, 9, 26]","[48, 13, 6, 29]","[49, 12, 15, 19]","[46, 15, 8, 26]","[43, 18, 11, 23]","[41, 20, 8, 26]","[39, 22, 7, 27]","[49, 12, 10, 24]"
31,poly,1.0,1.0,3.0,100,"[44, 18, 8, 26]","[51, 10, 12, 23]","[43, 18, 8, 27]","[48, 13, 6, 29]","[49, 12, 15, 19]","[49, 12, 8, 26]","[43, 18, 11, 23]","[41, 20, 8, 26]","[39, 22, 7, 27]","[49, 12, 10, 24]"
32,poly,1.0,1.0,3.0,150,"[44, 18, 8, 26]","[51, 10, 12, 23]","[43, 18, 8, 27]","[48, 13, 6, 29]","[49, 12, 15, 19]","[47, 14, 8, 26]","[43, 18, 8, 26]","[41, 20, 8, 26]","[39, 22, 7, 27]","[49, 12, 10, 24]"
33,rbf,1.0,10.0,,50,"[41, 21, 8, 26]","[53, 8, 12, 23]","[44, 17, 10, 25]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[40, 21, 9, 25]","[50, 11, 13, 21]"
34,rbf,1.0,10.0,,100,"[41, 21, 9, 25]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 13, 21]"
35,rbf,1.0,10.0,,150,"[41, 21, 11, 23]","[52, 9, 12, 23]","[44, 17, 9, 26]","[50, 11, 10, 25]","[49, 12, 16, 18]","[50, 11, 9, 25]","[48, 13, 15, 19]","[42, 19, 8, 26]","[39, 22, 9, 25]","[50, 11, 12, 22]"
36,poly,1.0,10.0,2.0,50,"[42, 20, 8, 26]","[47, 14, 12, 23]","[42, 19, 11, 24]","[48, 13, 4, 31]","[48, 13, 15, 19]","[47, 14, 6, 28]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 4, 30]","[47, 14, 9, 25]"
37,poly,1.0,10.0,2.0,100,"[42, 20, 8, 26]","[47, 14, 12, 23]","[41, 20, 11, 24]","[49, 12, 4, 31]","[47, 14, 14, 20]","[48, 13, 8, 26]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 4, 30]","[47, 14, 8, 26]"
38,poly,1.0,10.0,2.0,150,"[42, 20, 8, 26]","[47, 14, 12, 23]","[41, 20, 11, 24]","[49, 12, 6, 29]","[47, 14, 14, 20]","[48, 13, 8, 26]","[44, 17, 8, 26]","[45, 16, 8, 26]","[38, 23, 6, 28]","[47, 14, 8, 26]"
