,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[50, 12, 7, 27]","[49, 12, 10, 25]","[45, 16, 11, 24]","[53, 8, 6, 29]","[48, 13, 6, 28]","[47, 14, 10, 24]","[44, 17, 7, 27]","[51, 10, 10, 24]","[41, 20, 11, 23]","[45, 16, 9, 25]"
1,300,10,"[46, 16, 7, 27]","[49, 12, 12, 23]","[43, 18, 12, 23]","[52, 9, 8, 27]","[44, 17, 8, 26]","[47, 14, 11, 23]","[44, 17, 7, 27]","[50, 11, 12, 22]","[41, 20, 13, 21]","[45, 16, 11, 23]"
2,300,15,"[46, 16, 7, 27]","[49, 12, 12, 23]","[43, 18, 12, 23]","[52, 9, 8, 27]","[44, 17, 8, 26]","[47, 14, 11, 23]","[44, 17, 7, 27]","[50, 11, 12, 22]","[41, 20, 13, 21]","[45, 16, 11, 23]"
3,500,5,"[50, 12, 7, 27]","[49, 12, 10, 25]","[45, 16, 11, 24]","[53, 8, 6, 29]","[48, 13, 6, 28]","[47, 14, 10, 24]","[44, 17, 7, 27]","[51, 10, 10, 24]","[41, 20, 11, 23]","[45, 16, 9, 25]"
4,500,10,"[43, 19, 7, 27]","[49, 12, 12, 23]","[42, 19, 12, 23]","[52, 9, 10, 25]","[44, 17, 8, 26]","[47, 14, 12, 22]","[44, 17, 7, 27]","[50, 11, 12, 22]","[41, 20, 11, 23]","[45, 16, 11, 23]"
5,500,15,"[43, 19, 7, 27]","[49, 12, 12, 23]","[42, 19, 12, 23]","[52, 9, 10, 25]","[44, 17, 8, 26]","[47, 14, 12, 22]","[44, 17, 7, 27]","[50, 11, 12, 22]","[41, 20, 11, 23]","[45, 16, 11, 23]"
