,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 13, 15, 19]"
1,300,10,"[47, 14, 12, 22]"
2,300,15,"[47, 14, 15, 19]"
3,500,5,"[48, 13, 15, 19]"
4,500,10,"[47, 14, 13, 21]"
5,500,15,"[47, 14, 15, 19]"
