,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[50, 12, 7, 27]"
1,linear,0.1,,,100,"[50, 12, 7, 27]"
2,linear,0.1,,,150,"[50, 12, 7, 27]"
3,rbf,0.1,1,,50,"[51, 11, 9, 25]"
4,rbf,0.1,1,,100,"[51, 11, 9, 25]"
5,rbf,0.1,1,,150,"[51, 11, 9, 25]"
6,poly,0.1,1,2,50,"[50, 12, 7, 27]"
7,poly,0.1,1,2,100,"[50, 12, 7, 27]"
8,poly,0.1,1,2,150,"[50, 12, 7, 27]"
9,poly,0.1,1,3,50,"[48, 14, 7, 27]"
10,poly,0.1,1,3,100,"[48, 14, 7, 27]"
11,poly,0.1,1,3,150,"[48, 14, 7, 27]"
12,rbf,0.1,10.0,,50,"[55, 7, 15, 19]"
13,rbf,0.1,10.0,,100,"[55, 7, 15, 19]"
14,rbf,0.1,10.0,,150,"[55, 7, 15, 19]"
15,poly,0.1,10.0,2,50,"[48, 14, 7, 27]"
16,poly,0.1,10.0,2,100,"[48, 14, 7, 27]"
17,poly,0.1,10.0,2,150,"[48, 14, 7, 27]"
18,poly,0.1,10.0,3,50,"[44, 18, 9, 25]"
19,poly,0.1,10.0,3,100,"[46, 16, 7, 27]"
20,poly,0.1,10.0,3,150,"[47, 15, 9, 25]"
21,linear,1.0,,,50,"[50, 12, 7, 27]"
22,linear,1.0,,,100,"[50, 12, 7, 27]"
23,linear,1.0,,,150,"[50, 12, 7, 27]"
24,rbf,1.0,1,,50,"[50, 12, 9, 25]"
25,rbf,1.0,1,,100,"[50, 12, 9, 25]"
26,rbf,1.0,1,,150,"[50, 12, 9, 25]"
27,poly,1.0,1,2,50,"[51, 11, 7, 27]"
28,poly,1.0,1,2,100,"[51, 11, 7, 27]"
29,poly,1.0,1,2,150,"[51, 11, 7, 27]"
30,poly,1.0,1,3,50,"[47, 15, 7, 27]"
31,poly,1.0,1,3,100,"[47, 15, 7, 27]"
32,poly,1.0,1,3,150,"[47, 15, 7, 27]"
33,rbf,1.0,10.0,,50,"[50, 12, 9, 25]"
34,rbf,1.0,10.0,,100,"[50, 12, 9, 25]"
35,rbf,1.0,10.0,,150,"[50, 12, 9, 25]"
36,poly,1.0,10.0,2,50,"[45, 17, 7, 27]"
37,poly,1.0,10.0,2,100,"[45, 17, 7, 27]"
38,poly,1.0,10.0,2,150,"[45, 17, 7, 27]"
39,poly,1.0,10.0,3,50,"[44, 18, 9, 25]"
40,poly,1.0,10.0,3,100,"[47, 15, 7, 27]"
41,poly,1.0,10.0,3,150,"[47, 15, 9, 25]"
42,linear,10.0,,,50,"[50, 12, 7, 27]"
43,linear,10.0,,,100,"[50, 12, 7, 27]"
44,linear,10.0,,,150,"[50, 12, 7, 27]"
45,rbf,10.0,1,,50,"[47, 15, 9, 25]"
46,rbf,10.0,1,,100,"[50, 12, 9, 25]"
47,rbf,10.0,1,,150,"[50, 12, 9, 25]"
48,poly,10.0,1,2,50,"[48, 14, 7, 27]"
49,poly,10.0,1,2,100,"[48, 14, 7, 27]"
50,poly,10.0,1,2,150,"[48, 14, 7, 27]"
51,poly,10.0,1,3,50,"[47, 15, 7, 27]"
52,poly,10.0,1,3,100,"[47, 15, 7, 27]"
53,poly,10.0,1,3,150,"[47, 15, 7, 27]"
54,rbf,10.0,10.0,,50,"[50, 12, 9, 25]"
55,rbf,10.0,10.0,,100,"[50, 12, 9, 25]"
56,rbf,10.0,10.0,,150,"[50, 12, 9, 25]"
57,poly,10.0,10.0,2,50,"[45, 17, 7, 27]"
58,poly,10.0,10.0,2,100,"[44, 18, 6, 28]"
59,poly,10.0,10.0,2,150,"[45, 17, 6, 28]"
60,poly,10.0,10.0,3,50,"[44, 18, 9, 25]"
61,poly,10.0,10.0,3,100,"[46, 16, 7, 27]"
62,poly,10.0,10.0,3,150,"[47, 15, 9, 25]"
63,linear,100.0,,,50,"[50, 12, 7, 27]"
64,linear,100.0,,,100,"[50, 12, 7, 27]"
