,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[41, 20, 11, 23]"
1,300,10,"[41, 20, 13, 21]"
2,300,15,"[41, 20, 13, 21]"
3,500,5,"[41, 20, 11, 23]"
4,500,10,"[41, 20, 11, 23]"
5,500,15,"[41, 20, 11, 23]"
