,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[50, 11, 9, 25]"
1,300,10,"[51, 10, 8, 26]"
2,300,15,"[51, 10, 9, 25]"
3,500,5,"[50, 11, 9, 25]"
4,500,10,"[51, 10, 7, 27]"
5,500,15,"[51, 10, 9, 25]"
