,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[51, 10, 4, 31]"
1,linear,0.1,,,100,"[51, 10, 4, 31]"
2,linear,0.1,,,150,"[51, 10, 4, 31]"
3,rbf,0.1,1,,50,"[51, 10, 6, 29]"
4,rbf,0.1,1,,100,"[51, 10, 6, 29]"
5,rbf,0.1,1,,150,"[51, 10, 6, 29]"
6,poly,0.1,1,2,50,"[50, 11, 4, 31]"
7,poly,0.1,1,2,100,"[50, 11, 4, 31]"
8,poly,0.1,1,2,150,"[50, 11, 4, 31]"
9,poly,0.1,1,3,50,"[49, 12, 4, 31]"
10,poly,0.1,1,3,100,"[49, 12, 4, 31]"
11,poly,0.1,1,3,150,"[50, 11, 4, 31]"
12,rbf,0.1,10.0,,50,"[57, 4, 15, 20]"
13,rbf,0.1,10.0,,100,"[57, 4, 15, 20]"
14,rbf,0.1,10.0,,150,"[56, 5, 13, 22]"
15,poly,0.1,10.0,2,50,"[51, 10, 4, 31]"
16,poly,0.1,10.0,2,100,"[51, 10, 4, 31]"
17,poly,0.1,10.0,2,150,"[51, 10, 4, 31]"
18,poly,0.1,10.0,3,50,"[49, 12, 10, 25]"
19,poly,0.1,10.0,3,100,"[49, 12, 10, 25]"
20,poly,0.1,10.0,3,150,"[49, 12, 10, 25]"
21,linear,1.0,,,50,"[51, 10, 4, 31]"
22,linear,1.0,,,100,"[51, 10, 4, 31]"
23,linear,1.0,,,150,"[51, 10, 4, 31]"
24,rbf,1.0,1,,50,"[50, 11, 6, 29]"
25,rbf,1.0,1,,100,"[50, 11, 6, 29]"
26,rbf,1.0,1,,150,"[51, 10, 6, 29]"
27,poly,1.0,1,2,50,"[51, 10, 4, 31]"
28,poly,1.0,1,2,100,"[51, 10, 4, 31]"
29,poly,1.0,1,2,150,"[51, 10, 4, 31]"
30,poly,1.0,1,3,50,"[48, 13, 6, 29]"
31,poly,1.0,1,3,100,"[48, 13, 6, 29]"
32,poly,1.0,1,3,150,"[48, 13, 6, 29]"
33,rbf,1.0,10.0,,50,"[50, 11, 10, 25]"
34,rbf,1.0,10.0,,100,"[50, 11, 10, 25]"
35,rbf,1.0,10.0,,150,"[50, 11, 10, 25]"
36,poly,1.0,10.0,2,50,"[48, 13, 4, 31]"
37,poly,1.0,10.0,2,100,"[49, 12, 4, 31]"
38,poly,1.0,10.0,2,150,"[49, 12, 6, 29]"
39,poly,1.0,10.0,3,50,"[49, 12, 10, 25]"
40,poly,1.0,10.0,3,100,"[49, 12, 10, 25]"
41,poly,1.0,10.0,3,150,"[49, 12, 10, 25]"
42,linear,10.0,,,50,"[51, 10, 4, 31]"
43,linear,10.0,,,100,"[51, 10, 4, 31]"
44,linear,10.0,,,150,"[51, 10, 4, 31]"
45,rbf,10.0,1,,50,"[50, 11, 10, 25]"
46,rbf,10.0,1,,100,"[50, 11, 10, 25]"
47,rbf,10.0,1,,150,"[50, 11, 10, 25]"
48,poly,10.0,1,2,50,"[51, 10, 4, 31]"
49,poly,10.0,1,2,100,"[51, 10, 4, 31]"
50,poly,10.0,1,2,150,"[51, 10, 4, 31]"
51,poly,10.0,1,3,50,"[49, 12, 10, 25]"
52,poly,10.0,1,3,100,"[49, 12, 10, 25]"
53,poly,10.0,1,3,150,"[49, 12, 10, 25]"
54,rbf,10.0,10.0,,50,"[50, 11, 10, 25]"
55,rbf,10.0,10.0,,100,"[50, 11, 10, 25]"
56,rbf,10.0,10.0,,150,"[50, 11, 10, 25]"
57,poly,10.0,10.0,2,50,"[48, 13, 4, 31]"
58,poly,10.0,10.0,2,100,"[48, 13, 4, 31]"
59,poly,10.0,10.0,2,150,"[49, 12, 4, 31]"
60,poly,10.0,10.0,3,50,"[49, 12, 10, 25]"
61,poly,10.0,10.0,3,100,"[49, 12, 10, 25]"
62,poly,10.0,10.0,3,150,"[49, 12, 10, 25]"
63,linear,100.0,,,50,"[51, 10, 4, 31]"
64,linear,100.0,,,100,"[51, 10, 4, 31]"
65,linear,100.0,,,150,"[51, 10, 4, 31]"
66,rbf,100.0,1,,50,"[50, 11, 10, 25]"
67,rbf,100.0,1,,100,"[50, 11, 10, 25]"
68,rbf,100.0,1,,150,"[50, 11, 10, 25]"
69,poly,100.0,1,2,50,"[48, 13, 4, 31]"
70,poly,100.0,1,2,100,"[49, 12, 4, 31]"
71,poly,100.0,1,2,150,"[49, 12, 6, 29]"
72,poly,100.0,1,3,50,"[49, 12, 10, 25]"
73,poly,100.0,1,3,100,"[49, 12, 10, 25]"
74,poly,100.0,1,3,150,"[49, 12, 10, 25]"
75,rbf,100.0,10.0,,50,"[50, 11, 10, 25]"
76,rbf,100.0,10.0,,100,"[50, 11, 10, 25]"
77,rbf,100.0,10.0,,150,"[50, 11, 10, 25]"
78,poly,100.0,10.0,2,50,"[48, 13, 4, 31]"
79,poly,100.0,10.0,2,100,"[49, 12, 4, 31]"
80,poly,100.0,10.0,2,150,"[49, 12, 4, 31]"
81,poly,100.0,10.0,3,50,"[49, 12, 10, 25]"
82,poly,100.0,10.0,3,100,"[49, 12, 10, 25]"
83,poly,100.0,10.0,3,150,"[49, 12, 10, 25]"
84,linear,1000.0,,,50,"[51, 10, 4, 31]"
85,linear,1000.0,,,100,"[51, 10, 4, 31]"
86,linear,1000.0,,,150,"[51, 10, 4, 31]"
87,rbf,1000.0,1,,50,"[50, 11, 10, 25]"
88,rbf,1000.0,1,,100,"[50, 11, 10, 25]"
89,rbf,1000.0,1,,150,"[50, 11, 10, 25]"
90,poly,1000.0,1,2,50,"[49, 12, 3, 32]"
91,poly,1000.0,1,2,100,"[48, 13, 4, 31]"
92,poly,1000.0,1,2,150,"[49, 12, 4, 31]"
93,poly,1000.0,1,3,50,"[49, 12, 10, 25]"
94,poly,1000.0,1,3,100,"[49, 12, 10, 25]"
95,poly,1000.0,1,3,150,"[49, 12, 10, 25]"
96,rbf,1000.0,10.0,,50,"[50, 11, 10, 25]"
97,rbf,1000.0,10.0,,100,"[50, 11, 10, 25]"
98,rbf,1000.0,10.0,,150,"[50, 11, 10, 25]"
99,poly,1000.0,10.0,2,50,"[49, 12, 3, 32]"
100,poly,1000.0,10.0,2,100,"[49, 12, 3, 32]"
101,poly,1000.0,10.0,2,150,"[49, 12, 4, 31]"
102,poly,1000.0,10.0,3,50,"[49, 12, 10, 25]"
103,poly,1000.0,10.0,3,100,"[49, 12, 10, 25]"
104,poly,1000.0,10.0,3,150,"[49, 12, 10, 25]"
