,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[43, 18, 8, 26]"
1,0.0001,0.1,"[45, 16, 10, 24]"
2,0.0001,0.2,"[45, 16, 10, 24]"
3,0.001,0.0,"[44, 17, 8, 26]"
4,0.001,0.1,"[44, 17, 8, 26]"
5,0.001,0.2,"[44, 17, 8, 26]"
