,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 7, 28]"
1,300,10,"[50, 11, 6, 29]"
2,300,15,"[50, 11, 10, 25]"
3,500,5,"[51, 10, 7, 28]"
4,500,10,"[51, 10, 6, 29]"
5,500,15,"[49, 12, 10, 25]"
