,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[47, 14, 8, 27]"
1,0.0001,0.1,"[42, 19, 5, 30]"
2,0.0001,0.2,"[42, 19, 6, 29]"
3,0.001,0.0,"[50, 11, 7, 28]"
4,0.001,0.1,"[50, 11, 7, 28]"
5,0.001,0.2,"[50, 11, 7, 28]"
