,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[17, 45, 2, 32]","[23, 38, 4, 31]","[19, 42, 5, 30]","[21, 40, 3, 32]","[15, 46, 1, 33]","[23, 38, 2, 32]","[16, 45, 3, 31]","[19, 42, 3, 31]","[18, 43, 5, 29]","[20, 41, 7, 27]"
1,0,"[46, 16, 9, 25]","[42, 19, 9, 26]","[42, 19, 8, 27]","[50, 11, 6, 29]","[43, 18, 6, 28]","[50, 11, 9, 25]","[48, 13, 8, 26]","[45, 16, 12, 22]","[50, 11, 8, 26]","[48, 13, 12, 22]"
