,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[41, 21, 6, 28]","[45, 16, 13, 22]","[42, 19, 10, 25]","[50, 11, 7, 28]","[42, 19, 10, 24]","[46, 15, 11, 23]","[33, 28, 6, 28]","[37, 24, 7, 27]","[36, 25, 5, 29]","[39, 22, 6, 28]"
1,0.001,"[40, 22, 6, 28]","[45, 16, 13, 22]","[40, 21, 7, 28]","[50, 11, 7, 28]","[42, 19, 10, 24]","[46, 15, 11, 23]","[33, 28, 6, 28]","[37, 24, 7, 27]","[36, 25, 5, 29]","[39, 22, 6, 28]"
2,0.01,"[39, 23, 5, 29]","[45, 16, 12, 23]","[39, 22, 6, 29]","[45, 16, 3, 32]","[42, 19, 9, 25]","[44, 17, 5, 29]","[32, 29, 5, 29]","[37, 24, 7, 27]","[34, 27, 5, 29]","[39, 22, 6, 28]"
