,N_Estimators,Max_Depth,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,300,5,"[44, 18, 9, 25]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[49, 12, 9, 25]","[45, 16, 13, 21]","[48, 13, 7, 27]","[47, 14, 10, 24]"
1,300,10,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[50, 11, 12, 22]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
2,300,15,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 10, 24]","[50, 11, 12, 22]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
3,500,5,"[44, 18, 9, 25]","[45, 16, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[51, 10, 8, 26]","[49, 12, 9, 25]","[45, 16, 13, 21]","[48, 13, 7, 27]","[47, 14, 10, 24]"
4,500,10,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 9, 25]","[50, 11, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
5,500,15,"[41, 21, 9, 25]","[42, 19, 15, 20]","[41, 20, 8, 27]","[46, 15, 7, 28]","[45, 16, 9, 25]","[50, 11, 13, 21]","[49, 12, 9, 25]","[44, 17, 12, 22]","[46, 15, 7, 27]","[48, 13, 11, 23]"
