,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[47, 15, 12, 22]","[46, 15, 11, 24]","[44, 17, 8, 27]","[51, 10, 7, 28]","[46, 15, 8, 26]","[50, 11, 10, 24]","[49, 12, 10, 24]","[45, 16, 13, 21]","[50, 11, 11, 23]","[50, 11, 15, 19]"
1,0.001,"[47, 15, 12, 22]","[45, 16, 11, 24]","[44, 17, 8, 27]","[51, 10, 7, 28]","[45, 16, 8, 26]","[50, 11, 10, 24]","[48, 13, 10, 24]","[45, 16, 12, 22]","[50, 11, 11, 23]","[50, 11, 15, 19]"
2,0.01,"[47, 15, 9, 25]","[44, 17, 11, 24]","[43, 18, 8, 27]","[51, 10, 7, 28]","[42, 19, 7, 27]","[51, 10, 10, 24]","[46, 15, 11, 23]","[45, 16, 13, 21]","[49, 12, 7, 27]","[47, 14, 14, 20]"
