,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[57, 4, 18, 16]"
1,0.0001,0.1,"[55, 6, 12, 22]"
2,0.0001,0.2,"[52, 9, 11, 23]"
3,0.001,0.0,"[53, 8, 10, 24]"
4,0.001,0.1,"[52, 9, 9, 25]"
5,0.001,0.2,"[52, 9, 9, 25]"
