,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[54, 7, 6, 29]"
1,300,10,"[53, 8, 9, 26]"
2,300,15,"[56, 5, 15, 20]"
3,500,5,"[54, 7, 6, 29]"
4,500,10,"[54, 7, 9, 26]"
5,500,15,"[57, 4, 15, 20]"
