,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[22, 40, 3, 31]","[9, 52, 5, 30]","[18, 43, 4, 31]","[26, 35, 2, 33]","[22, 39, 3, 31]","[17, 44, 3, 31]","[18, 43, 1, 33]","[24, 37, 5, 29]","[20, 41, 3, 31]","[10, 51, 4, 30]"
1,0,"[44, 18, 8, 26]","[44, 17, 10, 25]","[50, 11, 7, 28]","[49, 12, 10, 25]","[50, 11, 4, 30]","[47, 14, 9, 25]","[46, 15, 8, 26]","[44, 17, 9, 25]","[45, 16, 13, 21]","[40, 21, 10, 24]"
