,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[44, 17, 10, 25]"
1,300,10,"[44, 17, 11, 24]"
2,300,15,"[46, 15, 16, 19]"
3,500,5,"[44, 17, 10, 25]"
4,500,10,"[44, 17, 11, 24]"
5,500,15,"[46, 15, 16, 19]"
