,Gauss,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix
0,1,50,0.5,"[268, 38, 157, 14]","[26, 279, 2, 170]"
1,0,50,0.5,"[217, 89, 39, 132]","[243, 62, 63, 109]"
