,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[46, 15, 11, 24]"
1,300,10,"[46, 15, 11, 24]"
2,300,15,"[46, 15, 11, 24]"
3,500,5,"[46, 15, 11, 24]"
4,500,10,"[46, 15, 11, 24]"
5,500,15,"[46, 15, 11, 24]"
