,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[42, 19, 9, 26]"
1,300,10,"[40, 21, 9, 26]"
2,300,15,"[40, 21, 9, 26]"
3,500,5,"[42, 19, 9, 26]"
4,500,10,"[40, 21, 9, 26]"
5,500,15,"[40, 21, 9, 26]"
