,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[48, 14, 7, 27]"
1,300,10,"[47, 15, 12, 22]"
2,300,15,"[48, 14, 13, 21]"
3,500,5,"[47, 15, 7, 27]"
4,500,10,"[47, 15, 11, 23]"
5,500,15,"[48, 14, 13, 21]"
